[37.37s -> 39.17s]  Hello, everyone. Hello.
[2099.06s -> 2102.62s]  That felt like it felt good from what I was walking around.
[2106.03s -> 2107.23s]  All right. What's what's the queue?
[2107.23s -> 2111.79s]  Oh, we got a queue of only nine minutes.
[2118.09s -> 2133.14s]  Let's open up Nancy Drew.
[2133.14s -> 2151.46s]  Why does it just get it open?
[2151.46s -> 2153.66s]  Here's one big problem.
[2153.66s -> 2159.99s]  This game was made in like out of like 1996 or something.
[2161.71s -> 2164.27s]  So I don't even know if I can see this.
[2164.59s -> 2167.71s]  Since you can tell a lot about a person by where he or she lives,
[2167.71s -> 2170.23s]  I thought I'd introduce myself by showing you my room.
[2170.55s -> 2172.83s]  As you can see, I keep it pretty neat.
[2172.83s -> 2174.99s]  Of course, I don't spend that much time in here.
[2174.99s -> 2176.59s]  I always seem to be off solving.
[2176.59s -> 2179.99s]  No, anyway, here's yes, you can.
[2179.99s -> 2181.19s]  Don't lie to me right now.
[2181.19s -> 2183.99s]  I can't all tab. Don't lie. Stop lying.
[2185.61s -> 2187.93s]  My desk. Go ahead and poke around.
[2188.29s -> 2191.05s]  If you want to know the particulars of how I do what I do,
[2191.29s -> 2193.97s]  take a look at the book titled How to Be a Detective.
[2194.29s -> 2197.45s]  It's real helpful, especially if you're new to the mystery solving.
[2197.45s -> 2200.45s]  This is Nancy Drew and the check out my scrap history
[2200.93s -> 2207.17s]  and the mystery of the wolf in the icicle cave or something.
[2207.37s -> 2212.58s]  I don't say anything about it.
[2212.58s -> 2214.78s]  And I said, head to the Icicle Creek Lodge,
[2214.78s -> 2217.82s]  a small guest lodge deep in the Canadian Rockies of Alberta, Canada,
[2218.18s -> 2220.42s]  and try to figure out why so many accidents have been happening there.
[2221.74s -> 2224.98s]  The woman who runs the lodge, Chantal Mowee,
[2225.30s -> 2229.94s]  he called me out the blue, saying the bed and I can't even read
[2230.06s -> 2234.90s]  fucking English words from Shadow Ranch and it's recommended.
[2234.90s -> 2237.26s]  I'm so flustered right now.
[2237.26s -> 2239.86s]  You sound so desperate that I couldn't refuse.
[2240.02s -> 2242.66s]  It's something with the way the words are blurry and I can't read them.
[2243.30s -> 2247.10s]  She said she was on her way to Edmonton to meet with her lawyers.
[2247.42s -> 2250.90s]  So her handyman, Ollie Randall, will pick me up at the airport.
[2251.78s -> 2254.58s]  She told me it's been really cold and snowy there
[2254.98s -> 2256.70s]  that I should pack accordingly.
[2256.70s -> 2258.58s]  And then she said something about a wolf.
[2258.58s -> 2260.86s]  The connection was getting really bad and I could barely hear her.
[2261.34s -> 2264.38s]  But I'm pretty sure she used the word prowling or was it howling
[2264.70s -> 2267.02s]  along with dangerous and be careful.
[2267.26s -> 2272.07s]  Couldn't you have just said she told me to be careful of the howling
[2272.07s -> 2272.95s]  and it might be dangerous?
[2272.95s -> 2278.50s]  Why do you have to do all this weird prowling, howling, dangerous and be careful?
[2278.94s -> 2280.94s]  She just said one sentence to you.
[2280.94s -> 2284.97s]  Like, why do you have to break it up like this?
[2284.97s -> 2287.65s]  OK, but wild animals, I hope I know what I'm getting into.
[2289.27s -> 2291.68s]  OK, how do I do it?
[2291.68s -> 2294.14s]  I just fucking exit to the goddamn game.
[2294.14s -> 2302.23s]  I didn't thank God. OK.
[2302.23s -> 2308.56s]  Oh, there it is.
[2308.56s -> 2316.45s]  So get on the plane.
[2316.45s -> 2318.45s]  The junior level provides a lot of help and hints.
[2318.45s -> 2321.77s]  Most more experienced players may enjoy playing the senior level.
[2327.42s -> 2329.74s]  I don't want to click this because it makes me feel old.
[2330.06s -> 2333.26s]  I don't want to click this because it's going to be like two plus two equals four.
[2340.46s -> 2342.70s]  When Chantal told me you were just a young thing,
[2342.70s -> 2344.50s]  well, I thought she was pulling my leg.
[2344.50s -> 2346.62s]  But you're not much older than my little girl, Freddy.
[2347.26s -> 2350.58s]  Well, if one of the people at the lodge is to blame for all those accidents,
[2350.62s -> 2354.26s]  Chantal thinks somebody like me has a better chance of figuring out who it is
[2354.26s -> 2356.62s]  and somebody more, you know, hard nosed.
[2357.42s -> 2360.14s]  Chantal has a bad habit of making up her mind
[2360.14s -> 2362.22s]  without thinking things clear through.
[2362.22s -> 2363.99s]  No need for you to tell her.
[2363.99s -> 2365.51s]  Look at the road, dude.
[2365.51s -> 2367.23s]  Is she still in Edmonton?
[2367.23s -> 2368.39s]  Afraid so.
[2368.39s -> 2371.63s]  Insurance companies given her and her lawyers a real hard time.
[2371.99s -> 2375.71s]  Left running the lodge up to me, which is why I'm not real crazy.
[2375.71s -> 2377.03s]  Oh, my God.
[2377.03s -> 2380.15s]  I knew underfoot, especially if something else happens.
[2380.63s -> 2382.19s]  I won't be underfoot, Mr.
[2382.19s -> 2386.27s]  Randall, and I may be young, but I'm no novice when it comes to solving.
[2386.27s -> 2390.07s]  I'm sorry if you look over at somebody in the pastor's seat.
[2390.71s -> 2397.07s]  One, two, three, or it's that's the car spinning.
[2407.44s -> 2412.64s]  What actually happened there?
[2412.64s -> 2413.76s]  No, ma'am.
[2413.76s -> 2415.84s]  Everyone here at the lodge is accounted for.
[2427.50s -> 2429.94s]  He said he'd know more after the lab was done running tests
[2429.94s -> 2431.50s]  on the debris he collected.
[2431.50s -> 2433.86s]  He did say the blast was pretty powerful.
[2433.94s -> 2437.98s]  And he slide up to the back door, clear out on the highway.
[2445.02s -> 2447.46s]  You sure you don't want to give your daddy a call?
[2464.62s -> 2467.62s]  Well, I was thinking that maybe I'd just be your new maid.
[2470.92s -> 2473.08s]  How's the audio give me access to everyone's room?
[2473.08s -> 2476.16s]  And I could question people without making them overly suspicious.
[2485.77s -> 2487.85s]  The phone's not connected to anything.
[2487.85s -> 2518.81s]  I think that's a fine idea, ma'am.
[2518.81s -> 2521.89s]  I'm going to be pretty busy trying to get rid of that wolf, Chantal.
[2522.45s -> 2526.09s]  We heard it. How that sounds like stir doing one of his voices.
[2527.87s -> 2528.87s]  Everybody all right?
[2551.34s -> 2554.86s]  OK, I'll get you a master key and leave it in your room.
[2555.42s -> 2557.66s]  If you need anything else, I'll be in the basement.
[2557.74s -> 2560.86s]  It's stir's wolf voice from when we played that game.
[2561.26s -> 2568.68s]  The only thing I can hear. OK, mystery.
[2568.88s -> 2572.56s]  What's this key?
[2572.56s -> 2576.12s]  What's this? What's that? What's this?
[2576.12s -> 2579.02s]  What's that? What's this?
[2579.02s -> 2580.58s]  What's in there? What's that?
[2580.58s -> 2582.50s]  What is this? What's this thing? What's that?
[2583.34s -> 2584.54s]  What's that? There's a key inside of that.
[2584.54s -> 2585.42s]  Open that key here.
[2585.42s -> 2586.38s]  This must be the key.
[2586.38s -> 2589.08s]  All he said, he'd leave for me.
[2589.08s -> 2591.88s]  And this must be a list of which guest is in what room.
[2592.08s -> 2595.52s]  That'll come in handy.
[2595.52s -> 2603.57s]  OK. All right, we got a clock here.
[2604.33s -> 2607.73s]  Nine. If I can read it, it's nine fifteen.
[2609.49s -> 2611.33s]  We don't have any information for this yet.
[2611.33s -> 2618.93s]  What's this? Daily cleaning, pick up laundry bag at the front desk.
[2620.62s -> 2623.14s]  Available after five forty five a.m.
[2623.14s -> 2626.22s]  Enter and clean only those rooms displaying the housekeeping sign.
[2626.26s -> 2630.45s]  Make the bed. Wait, I actually I actually have to do it.
[2632.53s -> 2634.13s]  I thought I was just pretending to be the maid.
[2634.13s -> 2635.73s]  I don't actually have to do this, do I?
[2635.73s -> 2640.02s]  Skating pond maintenance.
[2640.02s -> 2643.34s]  Do you want me to be doing a little bit of everything while I'm here?
[2645.32s -> 2649.91s]  I thought that I was just
[2649.91s -> 2652.39s]  I thought part of this routine was I was going to pretend to be the maid
[2652.39s -> 2654.68s]  so I could go in and question people.
[2654.68s -> 2656.98s]  All right, whatever. OK.
[2656.98s -> 2659.30s]  On must be shoveled out after every snowfall.
[2660.21s -> 2663.69s]  Some sections of ice would be very thin due to hot spring activity.
[2664.01s -> 2665.93s]  Pay close attention to the color of the ice
[2666.41s -> 2669.45s]  and only shovel off those areas which are safe to skate on.
[2670.66s -> 2673.46s]  The shade of the ice will reveal how many adjacent ice grids
[2674.00s -> 2676.39s]  have dangerously thin ice.
[2676.39s -> 2678.59s]  Mark these areas with an orange safety cone.
[2679.33s -> 2683.97s]  OK, so we don't want to. This is bad.
[2683.97s -> 2686.65s]  So at what point is it safe to skate on?
[2686.65s -> 2691.60s]  Oh, my goodness.
[2691.60s -> 2694.44s]  Diablo is still
[2694.44s -> 2696.00s]  I have authentication pending.
[2696.00s -> 2703.48s]  I don't think we're getting that anytime soon.
[2703.48s -> 2706.84s]  This color means that there are three patches of its minesweeper.
[2709.00s -> 2713.80s]  Report all avalanches to the Avalanche Patrol.
[2717.15s -> 2722.00s]  Do not make loud noises when in the backcountry where snow shoes.
[2724.17s -> 2725.93s]  Can you imagine if this is what a clock sounded like?
[2725.93s -> 2729.09s]  This thing would be smashed in a second if it was near me for more than a minute.
[2733.94s -> 2737.30s]  Report any criminal activity.
[2737.30s -> 2741.07s]  OK, I can't even think when that's in my ears.
[2741.70s -> 2743.42s]  Employees should remember that heat and moisture
[2743.42s -> 2746.09s]  sometimes cause the door to the side of the stick.
[2746.09s -> 2750.73s]  Check to make sure. Is this giving me all the solutions to the puzzles?
[2752.84s -> 2758.06s]  This is puzzle solutions.
[2758.06s -> 2760.10s]  Breakfast is served from seven to eight.
[2760.10s -> 2762.50s]  Lunch from noon to one. Dinner from six to seven.
[2763.49s -> 2784.01s]  OK, I think I just crashed my computer.
[2806.93s -> 2828.01s]  All right. Oh, no, this is very loud now.
[2832.10s -> 2834.10s]  Oh, don't worry, guys, I'm going to kill three more skeletons
[2834.10s -> 2844.29s]  and we'll play Nancy Drew again.
[2844.29s -> 2846.76s]  Ocean Chargers, that's right.
[2846.76s -> 2854.51s]  OK, you can only have up to four. Got it.
[2855.15s -> 2858.27s]  Let's check over here. What is A?
[2858.27s -> 2860.94s]  Oh, right, right, right, right.
[2860.98s -> 2867.02s]  Whoa, guys, Nancy Drew is still open in the background.
[2867.66s -> 2871.81s]  That clock is ticking into Nancy Drew's AI brain
[2872.45s -> 2875.30s]  and she just has to sit there.
[2875.30s -> 2879.31s]  Tick, tick, tick, tick, tick, tick, tick.
[2879.31s -> 2880.99s]  It's still open. Oh, don't worry, it's open.
[2880.99s -> 2883.19s]  I'm making sure I'm prepared now.
[2885.26s -> 2888.36s]  Um, I think I'm just going to do that one in here.
[2888.36s -> 2892.58s]  Yeah. How many points to get? Oh, I already can.
[2893.66s -> 2895.90s]  All right. I think I'm going to be a weirdo and just do this five times.
[2904.34s -> 2911.13s]  Doesn't Nancy Drew have a day night cycle?
[2911.13s -> 2914.33s]  I'm going to laugh my ass off if we go back over there.
[2914.69s -> 2919.01s]  It's like 12 days have passed.
[2919.01s -> 2923.54s]  Just staring at the clock.
[2923.54s -> 2926.26s]  What a miserable fucking life Nancy Drew has right now.
[2926.94s -> 2932.36s]  I'm so sorry, Nancy.
[2932.36s -> 2944.20s]  He's better. Yeah, he's stuck in purgatory.
[2946.56s -> 2950.87s]  Actually, it is kind of loud, isn't it?
[2950.87s -> 2960.49s]  Just a little, just a little bit, just a little chest.
[2961.49s -> 2966.54s]  Oh, uniques.
[2966.54s -> 2968.78s]  OK, so search the depths of Icehowl Ruins.
[2969.18s -> 2970.66s]  The games are blending together for me.
[2970.66s -> 2971.90s]  I feel like I'm in Nancy Drew.
[2971.90s -> 2974.98s]  I feel like I am Nancy Drew right now.
[2974.98s -> 2977.22s]  Icehowl Wolf. Icy.
[2977.22s -> 2983.19s]  It's like the same thing.
[2983.19s -> 2986.31s]  Guys, just pretend that we went to go investigate the wolf.
[2998.20s -> 3002.40s]  It does feel pretty fun to play so far, but let's not say that yet.
[3004.27s -> 3007.58s]  The first 10 minutes of Diablo 3 were fun, too.
[3008.30s -> 3010.94s]  Were they? Yeah, they were.
[3010.94s -> 3012.70s]  I would be lying if I didn't say that they weren't.
[3023.61s -> 3027.61s]  It definitely feels a little slower than D3,
[3029.18s -> 3048.50s]  which is a good thing.
[3049.66s -> 3054.12s]  They really took it in a new direction.
[3056.10s -> 3059.18s]  It's like a dodge roll.
[3059.18s -> 3061.06s]  Oh, shit, hold on. It's like a.
[3066.10s -> 3067.06s]  What?
[3068.82s -> 3081.23s]  Deep demons.
[3081.23s -> 3084.26s]  Oh, that original sound.
[3084.26s -> 3085.42s]  Wait, I want to check over here.
[3085.42s -> 3106.22s]  Skeleton captain with the loot, with the items.
[3110.26s -> 3112.54s]  This is pretty much a Roblox gameplay.
[3112.54s -> 3114.70s]  It is not Roblox gameplay.
[3125.47s -> 3127.82s]  Actually, just take it.
[3127.82s -> 3133.19s]  So true.
[3133.19s -> 3139.70s]  Shit. OK, hold on.
[3139.70s -> 3141.63s]  I do like the fire.
[3141.63s -> 3144.49s]  I need time.
[3145.29s -> 3147.01s]  Yeah. How much time?
[3147.01s -> 3151.06s]  Oh, it's five seconds. OK.
[3151.06s -> 3157.69s]  Yeah, I need some splash damage or something.
[3167.30s -> 3171.98s]  Oh, shit. First blue ever in D4.
[3176.16s -> 3177.36s]  So what is the itemization like?
[3177.36s -> 3179.73s]  What does it look like?
[3179.73s -> 3182.90s]  Thirty six armor, four decks.
[3182.90s -> 3191.56s]  OK, he's better than I have item power.
[3192.94s -> 3196.86s]  OK, take arc last year.
[3196.86s -> 3198.70s]  Mo should help with mobs.
[3200.96s -> 3213.23s]  Hold on a second here.
[3213.23s -> 3215.27s]  I have a lot of choices here now.
[3220.03s -> 3222.90s]  Incinerate. This is a flamethrower.
[3234.28s -> 3235.88s]  This is kind of better than this.
[3235.88s -> 3237.96s]  But this is a this is a damage on it.
[3237.96s -> 3243.64s]  Refund fireball is better than fireball.
