[1.66s -> 3.66s]  Just because.
[4925.93s -> 4927.93s]  one of those scenarios where it's like, alright, we're like
[4927.93s -> 4929.93s]  five hours in and like, here's
[4929.93s -> 4931.93s]  another like me keyed in front of Minecraft.
[4931.93s -> 4933.93s]  Cause, you know,
[4933.93s -> 4935.93s]  it's inevitable.
[4935.93s -> 4938.10s]  But there are a lot of really funny fucking people in this
[4938.10s -> 4942.65s]  community. And I'm
[4942.65s -> 4944.65s]  really looking forward to it. It's been in the making
[4944.65s -> 4946.65s]  for like four months. And
[4946.65s -> 4948.65s]  um, just really glad that it's gonna be
[4948.65s -> 4950.65s]  actually a thing we do tomorrow.
[4950.65s -> 4952.65s]  So, let me go.
[4952.65s -> 4954.65s]  Uh, let's do the bits.
[4954.65s -> 4956.65s]  Really quickly.
[4956.65s -> 4959.85s]  If you just showed up.
[4959.85s -> 4961.85s]  Sorry, I didn't even tweet the stream
[4961.85s -> 4964.09s]  out, I'm glad I didn't. Cause
[4964.09s -> 4967.02s]  uh, you know, unfortunately.
[4967.02s -> 4971.56s]  There isn't actually that much
[4971.56s -> 4973.56s]  Minecraft. I know, I'm just kidding around.
[4973.56s -> 4975.99s]  I'm just playing around. For what was there, I hope you
[4975.99s -> 4977.99s]  enjoyed just hanging out. Cause we kinda just hung out
[4977.99s -> 4979.99s]  and talked about the weather. For like an hour.
[4979.99s -> 4982.17s]  Uh, if Vinny is
[4982.17s -> 4984.17s]  streaming, go watch him. Metallix is streaming, go
[4984.17s -> 4986.17s]  watch him. While I work
[4986.17s -> 4988.17s]  on some stuff.
[4988.17s -> 4994.57s]  What time tomorrow? Tomorrow at 4
[4994.57s -> 4996.57s]  pm pacific time. Is when
[4996.57s -> 4998.57s]  the stream is going to start.
[4998.57s -> 5005.67s]  4 pm pacific.
[5005.67s -> 5007.67s]  Which is 7 pm eastern.
[5007.67s -> 5009.67s]  And I am trying to
[5009.67s -> 5012.62s]  uh, I am trying
[5012.62s -> 5014.62s]  to, cause I've been so used to telling everybody
[5014.62s -> 5016.62s]  times in eastern. And I feel like
[5016.62s -> 5018.62s]  there's a lot of people that still
[5018.62s -> 5020.62s]  um, when I say, oh 4 o'clock!
[5020.62s -> 5022.62s]  A lot of people don't know I mean
[5022.62s -> 5024.62s]  pacific. Cause I've been so,
[5024.62s -> 5026.62s]  it's just, for 3, 4 years
[5026.62s -> 5028.62s]  it's been eastern.
[5028.62s -> 5030.62s]  So, that's why I keep saying the eastern times
[5030.62s -> 5034.33s]  as well. It was fun
[5034.33s -> 5036.33s]  watching you two go off cliffs together.
[5036.33s -> 5039.46s]  It was. But thank you
[5039.46s -> 5042.09s]  uh, thank you again everybody.
[5042.09s -> 5044.09s]  Thank you daf. Skeletor for the
[5044.09s -> 5046.09s]  10 bucks. No message, 10 dollars.
[5046.09s -> 5048.09s]  Uh, coconut, thanks for the 1 buck.
[5048.09s -> 5050.09s]  2 bucks actually, 3 bucks!
[5050.09s -> 5052.33s]  They say uh, plug
[5052.33s -> 5055.85s]  walk. I don't know what that means.
[5055.85s -> 5057.85s]  Thank you Divus for the 5 dollars.
[5057.85s -> 5059.85s]  No message.
[5059.85s -> 5061.85s]  Uh, Hawkeye, thank you Hawkeye
[5061.85s -> 5063.85s]  for the 30 dollars Hawkeye.
[5063.85s -> 5066.66s]  30 bucks, a little more than an hour ago.
[5066.66s -> 5072.10s]  They say, hey there Jerma,
[5072.10s -> 5074.10s]  works pretty slow right now. And there's a
[5074.10s -> 5076.10s]  snowstorm outside. So I decided to pop in and
[5076.10s -> 5078.10s]  give these that have been meeting to
[5078.10s -> 5080.10s]  donate. I work pretty late so I'm resigned
[5080.10s -> 5082.10s]  to be a slimy
[5082.10s -> 5084.10s]  vaude boy. But the laughs
[5084.10s -> 5086.60s]  are always well worth it. See you around.
[5086.60s -> 5088.60s]  Thank you for the 30 dollars and
[5088.60s -> 5090.60s]  slimy vaude
[5090.60s -> 5094.44s]  boy. That's
[5094.44s -> 5098.73s]  slimy vaude boy. But thank you
[5098.73s -> 5102.31s]  so much Hawkeye. 30 dollars,
[5102.31s -> 5104.31s]  lots of money. Sorry that the stream
[5104.31s -> 5106.49s]  that you gave that money on was
[5106.49s -> 5108.49s]  uh, not even, I would even
[5108.49s -> 5110.49s]  not even classify the, it's been
[5110.49s -> 5112.49s]  like an hour and a half.
[5112.49s -> 5115.05s]  Um, don't worry. We got tomorrow
[5115.05s -> 5117.05s]  night, we got a very very good
[5117.05s -> 5119.05s]  fun stream ready to go. So
[5119.05s -> 5121.05s]  thank you. Thank you Garf for the
[5121.05s -> 5123.05s]  Monday killer for the one dollar. My name is Garf and I'm here
[5123.05s -> 5125.05s]  to say I eat lasagna every day.
[5125.05s -> 5127.05s]  Yo yo Jerma, it's Garf the rapper here.
[5127.05s -> 5129.05s]  I'm hoping to reboot my rap career.
[5129.05s -> 5131.05s]  Yes there's a six minute Garfield rap in the
[5131.05s -> 5133.05s]  early 90s. Uh, speaking of reinventing
[5133.05s -> 5135.05s]  your image, have you heard of those two Shrek
[5135.05s -> 5137.05s]  remakes? Well you just said Shrek so
[5137.05s -> 5139.86s]  I'm censoring the rest of this comment.
[5139.86s -> 5141.86s]  Won by the guy who made the minions and the
[5141.86s -> 5144.04s]  fan made one. The fan
[5144.04s -> 5146.04s]  made one called Shrek retold was
[5146.04s -> 5149.11s]  released two days ago. Every scene is
[5149.11s -> 5152.06s]  directed by a different artist. What movie would you
[5152.06s -> 5154.06s]  want remade by fans?
[5154.06s -> 5160.82s]  Um, I don't
[5160.82s -> 5163.45s]  know. Probably
[5163.45s -> 5166.58s]  maybe you could try
[5166.58s -> 5168.58s]  Why am I taking this comment seriously? Uh,
[5168.58s -> 5172.04s]  what movie? I would
[5172.04s -> 5176.46s]  say, uh, crocodile
[5176.46s -> 5179.14s]  Dundee. There's some stuff
[5179.14s -> 5181.51s]  there that could be done maybe. Uh, thank you
[5181.51s -> 5183.51s]  Jess for the one dollar. When I was a kid I used
[5183.51s -> 5186.89s]  to say, uh,
[5186.89s -> 5188.89s]  Chay Kane instead of Keychain.
[5188.89s -> 5190.89s]  I couldn't shake it for years. I would
[5190.89s -> 5192.89s]  also say sunshine
[5192.89s -> 5194.89s]  every time. I remember this. I can't say it
[5194.89s -> 5196.89s]  normally for days after.
[5196.89s -> 5198.89s]  Cheshire Trust. It's a Cheshire
[5198.89s -> 5200.89s]  Trust at this point. It's not a treasure chest.
[5200.89s -> 5204.92s]  It's hard to say it the other way.
[5204.92s -> 5206.92s]  But thank you. Thank you ExtraCheesy for the one dollar. He says
[5206.92s -> 5208.92s]  he doesn't eat, but yeah, the whole
[5208.92s -> 5211.80s]  taquitos things. Uh, ExtraCheesy
[5211.80s -> 5213.80s]  thanks again for the ten dollars here. Here's
[5213.80s -> 5215.80s]  what you said you never did before.
[5215.80s -> 5229.82s]  What the hell is this? I'm
[5229.82s -> 5233.40s]  eating taco
[5233.40s -> 5235.40s]  You drive dude. I'm eating.
[5235.40s -> 5238.22s]  That's not even me. Four?
[5238.22s -> 5242.38s]  Eat four taquitos at the same time.
[5242.38s -> 5244.38s]  Hold on. Wait, wait, wait, wait, wait.
[5244.38s -> 5246.62s]  When did I do this?
[5246.62s -> 5250.26s]  I don't remember putting
[5250.26s -> 5252.26s]  like five fucking taquitos in my mouth.
[5252.26s -> 5255.72s]  Hold on a second.
[5271.13s -> 5275.16s]  This is one of the last streams before I left.
[5275.16s -> 5277.16s]  Oh. Oh, okay.
[5277.16s -> 5280.94s]  You drive dude. I'm eating.
[5280.94s -> 5284.14s]  Four? One, two,
[5284.14s -> 5286.63s]  three, four. I don't
[5286.63s -> 5288.63s]  do this, do I? This is a joke, right?
[5288.63s -> 5292.66s]  I'm not doing it.
[5292.66s -> 5302.01s]  I knew it.
[5302.01s -> 5304.01s]  I knew it. I knew I wasn't
[5304.01s -> 5306.18s]  gonna do it. We got a helicopter
[5306.18s -> 5308.18s]  dude. We got a helicopter. Okay
[5308.18s -> 5310.18s]  I've had enough of that.
[5314.90s -> 5316.90s]  I thought you guys were talking about Vinny.
[5319.85s -> 5322.54s]  I've never eaten a taquito
[5322.54s -> 5324.54s]  in my life.
[5324.54s -> 5327.48s]  It's so funny cause that was
[5327.48s -> 5329.48s]  that wasn't like five years ago
[5329.48s -> 5331.48s]  that wasn't like three years ago. That was like
[5331.48s -> 5333.48s]  two months ago.
[5336.41s -> 5341.08s]  Oh
[5343.08s -> 5345.08s]  How do you guys remember these things?
[5345.08s -> 5347.08s]  Good thing you keep me honest.
[5347.08s -> 5349.51s]  But thank you Extra Cheesy for that.
[5349.51s -> 5351.51s]  Ten dollars, eleven dollars, twelve dollars.
[5351.51s -> 5353.51s]  And I want
[5353.51s -> 5355.82s]  the red badge. Thank you
[5355.82s -> 5358.31s]  Extra Cheesy. Red badge.
[5358.31s -> 5360.31s]  Mark Bosh Magali
[5360.31s -> 5362.31s]  thanks for the one dollar. The disconnect joke was really
[5362.31s -> 5364.31s]  interesting. Not sure what you were trying to accomplish.
[5364.31s -> 5366.31s]  Either way, it was nice seeing you
[5366.31s -> 5368.31s]  with Vinny. Take care.
[5368.31s -> 5370.31s]  The disconnecting from
[5370.31s -> 5373.32s]  the game joke. That's too
[5373.32s -> 5376.39s]  bad. That's too
[5376.39s -> 5380.36s]  bad. But
[5380.36s -> 5382.36s]  I would be more upset about this
[5382.36s -> 5384.36s]  if, cause I know that he
[5384.36s -> 5387.24s]  when we talked about doing this he was like
[5387.24s -> 5389.24s]  oh let's do this. This sounds like fun. Like let's give
[5389.24s -> 5391.24s]  it a few days though cause there's internet problems. There's like
[5391.24s -> 5393.24s]  Rockstar servers are kinda fucked up or whatever
[5393.24s -> 5395.42s]  right. I'm just glad that he
[5395.42s -> 5397.42s]  was already streaming something. He was doing
[5397.42s -> 5399.42s]  something. This wasn't like a okay
[5399.42s -> 5401.42s]  here's the stream for today.
[5401.42s -> 5403.42s]  He had already been playing like Ocarina of Time
[5403.42s -> 5405.42s]  and I'm really glad that it wasn't
[5405.42s -> 5407.42s]  just like oh hey let's just
[5407.42s -> 5409.42s]  let's just ruin this stream.
[5409.42s -> 5412.47s]  So. And
[5412.47s -> 5414.47s]  on this end at least that this was
[5414.47s -> 5416.47s]  an in between to tomorrow.
[5416.47s -> 5418.47s]  And we streamed yesterday, streamed tomorrow
[5418.47s -> 5420.47s]  and I'm just glad that this wasn't
[5420.47s -> 5422.47s]  you know oh that's it.
[5422.47s -> 5426.18s]  Red dead connection.
[5426.18s -> 5430.73s]  Yeah. Sorry
[5430.73s -> 5432.73s]  again everybody. I wish
[5432.73s -> 5434.73s]  I could snap my fingers and magically
[5434.73s -> 5436.73s]  have it not happen but
[5436.73s -> 5438.73s]  I'm actually going to do a little bit of research
[5438.73s -> 5440.73s]  because the stuff that I read
[5440.73s -> 5442.73s]  about it there's like workarounds
[5442.73s -> 5444.73s]  and I tried the workarounds
[5444.73s -> 5446.73s]  already. They didn't work.
[5446.73s -> 5449.10s]  But maybe there's some other things to try.
[5449.10s -> 5451.72s]  But thank you Marvish
[5451.72s -> 5453.72s]  Magali. Thank you Hunter Kane for the one dollar. Have some
[5453.72s -> 5456.22s]  bits. Thanks. Mostly lost thanks for
[5456.22s -> 5458.22s]  the one dollar. You should host Vinny or
[5458.22s -> 5460.22s]  Italics. You do know how the host button works right?
[5460.22s -> 5462.97s]  I don't know what
[5462.97s -> 5464.97s]  you mean like they
[5464.97s -> 5467.72s]  appear like I hope
[5467.72s -> 5469.72s]  they appear inside of me.
[5469.72s -> 5477.06s]  What do you mean? Like I have to
[5477.06s -> 5479.06s]  be inside. That's like a that's like a tapeworm.
[5479.06s -> 5484.38s]  I don't think I want that.
[5484.38s -> 5486.38s]  That's how the movie Venom starts.
[5486.38s -> 5491.69s]  I don't think I want that.
[5491.69s -> 5493.69s]  Ha ha ha ha ha
[5493.69s -> 5497.08s]  ha ha. Hey thank you
[5497.08s -> 5499.08s]  D Jack for the one dollar. I rewatched the Zoo Tycoon stream
[5499.08s -> 5501.08s]  and nearly shit myself with the T-Rex not being
[5501.08s -> 5503.08s]  able to find his car joke. Keep bringing
[5503.08s -> 5507.50s]  the chuckles. Thank you D Jack.
[5507.50s -> 5511.14s]  It was a fun stream. Spoilers.
[5511.14s -> 5513.14s]  Oh sorry. Sorry guys.
[5513.14s -> 5516.15s]  Venom is a symbiote. Sorry.
[5516.15s -> 5518.15s]  Sorry for the spoils.
[5518.15s -> 5520.15s]  And Smelly Boy right at the end. When are you going to play
[5520.15s -> 5522.15s]  Metal Gear Rising? Tomorrow.
[5522.15s -> 5524.15s]  No it's a lie. I'm kidding. Not tomorrow.
[5524.15s -> 5526.33s]  Tomorrow we're doing the...
[5526.33s -> 5533.69s]  No. Tomorrow we're doing the movie night.
[5533.69s -> 5539.38s]  How long is the stream going to be
[5539.38s -> 5542.01s]  tomorrow? That's up
[5542.01s -> 5544.01s]  for potential debate because
[5544.01s -> 5546.18s]  after I turn the stream off
[5546.18s -> 5548.18s]  here I'm going to go to the bathroom.
[5548.18s -> 5550.18s]  I'm going to go grab a drink and then sit down
[5550.18s -> 5552.18s]  and really get it hammered out.
[5552.18s -> 5554.81s]  And I don't know.
[5554.81s -> 5556.81s]  I'm going to assume it's going to be
[5556.81s -> 5558.81s]  like less than two or three hours long.
[5558.81s -> 5561.24s]  Because we're just going to be watching a playlist.
[5561.24s -> 5563.24s]  We're watching a huge community
[5563.24s -> 5567.90s]  playlist. So
[5567.90s -> 5571.99s]  I'm going to assume up to three hours.
[5571.99s -> 5575.32s]  It's one minute max. Two minutes max.
[5575.32s -> 5577.32s]  I plan on, I'm just going to tell you
[5577.32s -> 5579.32s]  just a fair warning, I plan on drinking a little bit
[5579.32s -> 5581.94s]  of wine. This is the sun.
[5581.94s -> 5583.94s]  It's been a couple of, it's been like two or three
[5583.94s -> 5586.57s]  weeks since I've had some good wine.
[5586.57s -> 5591.54s]  It's going to be a red blend.
[5591.54s -> 5593.54s]  But that is
[5593.54s -> 5595.54s]  it. Here come the credits
[5595.54s -> 5597.54s]  for the short stream that was
[5597.54s -> 5599.98s]  here. Thank you for
[5599.98s -> 5601.98s]  subscribing and contributing
[5601.98s -> 5603.98s]  everybody. It means a lot.
[5603.98s -> 5607.43s]  I wish it was better circumstances.
[5607.43s -> 5610.50s]  He's going to eat food and forget.
[5610.50s -> 5616.33s]  And there's also
[5616.33s -> 5618.33s]  a very, very real
[5618.33s -> 5621.46s]  possibility where the
[5621.46s -> 5623.77s]  it's broken up into two nights.
[5623.77s -> 5627.40s]  You know what I mean? Because if
[5627.40s -> 5629.40s]  there are, if there's more than four
[5629.40s -> 5631.40s]  or five hours of
[5631.40s -> 5634.02s]  videos to watch, then it might,
[5634.02s -> 5636.02s]  it'll be better probably to break it up into two
[5636.02s -> 5645.11s]  separate occasions. It depends.
[5645.11s -> 5647.11s]  I mean, maybe we'll just do the whole thing. It really depends
[5647.11s -> 5649.11s]  on how long the whole, after going
[5649.11s -> 5651.29s]  through and
[5651.29s -> 5653.29s]  making sure that it's cleaned up
[5653.29s -> 5655.29s]  and some duplicates are removed
[5655.29s -> 5657.29s]  or ones that weren't
[5657.29s -> 5659.29s]  following the rules or ones that just didn't make
[5659.29s -> 5661.29s]  any sense. Once it's cleaned up a little
[5661.29s -> 5674.92s]  bit, we'll find out. I can watch it at
[5674.92s -> 5676.92s]  times two speed.
[5676.92s -> 5681.06s]  Don't
[5681.06s -> 5683.06s]  watch them. What do you mean don't watch them?
[5683.06s -> 5685.88s]  Ones that don't make any sense.
[5685.88s -> 5687.88s]  Here's what I'm talking about. If there's like
[5687.88s -> 5690.25s]  we need to shave time off,
[5690.25s -> 5692.25s]  here's the reason why these all had to
[5692.25s -> 5694.25s]  be screened and had to be
[5694.25s -> 5696.25s]  predetermined if they were
[5696.25s -> 5698.25s]  capable of being on. Because the rules
[5698.25s -> 5700.25s]  that I set forth were original
[5700.25s -> 5702.25s]  content encouraged,
[5702.25s -> 5704.25s]  more than 10 seconds, less than two minutes,
[5704.25s -> 5706.25s]  like give or take
[5706.25s -> 5708.25s]  some people, if you go over by
[5708.25s -> 5710.25s]  five seconds or so, like okay,
[5710.25s -> 5712.25s]  as long as, or ten seconds, whatever,
[5712.25s -> 5714.25s]  if the video was made well,
[5714.25s -> 5716.25s]  we're just trying to see how that works.
[5716.25s -> 5718.25s]  But, there weren't very many
[5718.25s -> 5720.25s]  other rules
[5720.25s -> 5722.25s]  in regards to, well, I mean, obviously there was no
[5722.25s -> 5724.25s]  hateful shit, there was no sexual stuff,
[5724.25s -> 5726.25s]  obviously. But,
[5726.25s -> 5728.25s]  the reason why we have to go through them all
[5728.25s -> 5730.25s]  is because somebody could just put up
[5730.25s -> 5732.25s]  hey, here's my, here's my submission
[5732.25s -> 5734.25s]  and it's a minute and 58 seconds
[5734.25s -> 5736.25s]  of a black screen and then it flashes me
[5736.25s -> 5738.25s]  on the screen for one second.
[5738.25s -> 5740.25s]  That one's not going on, we're not putting
[5740.25s -> 5742.25s]  that one on the video, you know what I mean? That's not going on.
[5742.25s -> 5745.45s]  Like, that shit's not going on.
[5745.45s -> 5747.62s]  That's just a waste of time,
[5747.62s -> 5749.62s]  you know what I mean? Time is of the essence
[5749.62s -> 5755.58s]  tomorrow. And so, there's been
[5755.58s -> 5757.58s]  a few submissions that have
[5757.58s -> 5759.58s]  just been, just absolute,
[5759.58s -> 5761.58s]  just carnage,
[5761.58s -> 5763.58s]  just keyed out, just
[5763.58s -> 5765.58s]  volume at max,
[5765.58s -> 5767.58s]  blasting music, and just
[5767.58s -> 5769.58s]  like, and every one of the
[5769.58s -> 5771.58s]  green screens just like flying around and stuff.
[5771.58s -> 5773.58s]  For like two minutes.
[5773.58s -> 5776.26s]  It's like,
[5776.26s -> 5778.26s]  there's been some wild submissions,
[5778.26s -> 5780.26s]  so we need to make sure that we have
[5780.26s -> 5782.26s]  ones that aren't going to be obviously,
[5782.26s -> 5784.26s]  you know, blow anybody's ears out.
[5784.26s -> 5791.11s]  That sounds amazing.
[5791.11s -> 5793.11s]  And if, yo, I didn't say there was
[5793.11s -> 5795.11s]  anything wrong with it, but for the purposes of
[5795.11s -> 5797.11s]  tomorrow's viewing,
[5797.11s -> 5799.61s]  it needs to be at least fairly
[5799.61s -> 5810.10s]  structured. I've
[5810.10s -> 5812.10s]  I've tried to abstain from watching as many
[5812.10s -> 5814.10s]  of them as I can, but there are a lot of occasions
[5814.10s -> 5816.10s]  where I do have to watch them,
[5816.10s -> 5818.10s]  because I'm not sure, is this one okay?
[5818.10s -> 5820.10s]  Is this one kind of pushing the line
[5820.10s -> 5822.10s]  a little bit, and I have to watch them. I have to watch
[5822.10s -> 5824.10s]  a lot of them, pretty much.
[5824.10s -> 5826.10s]  But, because there's been
[5826.10s -> 5828.10s]  the mod team has been doing an absolutely
[5828.10s -> 5830.10s]  fucking fantastic job
[5830.10s -> 5832.34s]  to keep this
[5832.34s -> 5834.34s]  where I don't see very many
[5834.34s -> 5838.38s]  of them, you know what I mean?
[5838.38s -> 5840.38s]  But they do need to be watched, and I go, alright, I don't know about
[5840.38s -> 5845.94s]  that. Have somebody watch them for you.
[5845.94s -> 5847.94s]  That is essentially
[5847.94s -> 5853.77s]  what the mods have been doing.
[5853.77s -> 5856.01s]  It's been a huge fucking help.
[5856.01s -> 5858.01s]  That they deserve praise, they deserve
[5858.01s -> 5860.01s]  all the love you can give them.
[5860.01s -> 5865.18s]  And they deserve
[5865.18s -> 5869.85s]  compensation.
[5869.85s -> 5874.52s]  Because that's a lot of work. Especially this.
[5874.52s -> 5881.18s]  Yeah, coming, bits coming
[5881.18s -> 5888.66s]  your way.
[5888.66s -> 5890.66s]  Because, I mean, I'll be real here for a minute.
[5890.66s -> 5892.66s]  There's been occasions where
[5892.66s -> 5896.12s]  you know, you just can't do
[5896.12s -> 5898.74s]  it alone, you know what I mean?
[5898.74s -> 5900.74s]  There's been at least three or four streams that
[5900.74s -> 5903.61s]  just
[5903.61s -> 5905.61s]  without the help of at least
[5905.61s -> 5907.61s]  three, four of these mods.
[5907.61s -> 5909.61s]  There's no way that the streams would have even been
[5909.61s -> 5911.61s]  in reality, never would have been in reality, ever.
[5911.61s -> 5915.82s]  So, big thanks.
[5915.82s -> 5922.54s]  In reality.
[5922.54s -> 5925.99s]  And thank you all the subs, everybody
[5925.99s -> 5929.13s]  that just came in. Get excited for tomorrow,
[5929.13s -> 5940.65s]  it's gonna be a lot of fun. And finally,
[5940.65s -> 5942.65s]  right at the very end,
[5942.65s -> 5944.65s]  we had mostly lost
[5944.65s -> 5946.65s]  with the dollar. Also, thanks to you, I'm never gonna be able to drink
[5946.65s -> 5948.65s]  a red blend again without laughing.
[5948.65s -> 5950.65s]  Oh, come on, it's the best. It's the best.
[5950.65s -> 5953.66s]  I should have asked, I should have asked
[5953.66s -> 5956.15s]  a video about that. He would know.
[5956.15s -> 5958.15s]  He would be like, yeah, of course.
[5958.15s -> 5960.90s]  Mr. Picklesworth, thanks for the one dollar.
[5960.90s -> 5962.90s]  Hey, Jerma, how you doing today? I think I got banned from the discord
[5962.90s -> 5964.90s]  because I said, give,
[5964.90s -> 5968.49s]  I give back
[5968.49s -> 5970.49s]  a couple of times in the chat
[5970.49s -> 5972.49s]  when you took away the image posting.
[5972.49s -> 5974.98s]  Sorry, if my messages were spammy.
[5974.98s -> 5977.67s]  Hit up one of the
[5977.67s -> 5979.67s]  mods in a private message.
[5979.67s -> 5981.67s]  They will take care of it. They will
[5981.67s -> 5983.67s]  just, they will take a look and see what happened.
[5983.67s -> 5990.46s]  I hope it's not too late for you to see this.
[5990.46s -> 5995.94s]  No. And just
[5995.94s -> 5997.94s]  also remember something.
[5997.94s -> 5999.94s]  If somebody gets from the discord
[5999.94s -> 6001.94s]  or in this channel,
[6001.94s -> 6003.94s]  if you get like banned,
[6003.94s -> 6006.89s]  for the, all
[6006.89s -> 6008.89s]  bans, like permanent, we're talking like
[6008.89s -> 6011.13s]  bans, are
[6011.13s -> 6013.13s]  discussed. And it's not just like, hey,
[6013.13s -> 6016.58s]  you got banned. And there's usually
[6016.58s -> 6018.58s]  a dialogue you can open up to
[6018.58s -> 6020.58s]  potentially talk about what happened
[6020.58s -> 6022.82s]  or why or
[6022.82s -> 6030.95s]  that does happen. So
[6030.95s -> 6032.95s]  all hands are disgust.
[6032.95s -> 6041.53s]  Can I negotiate
[6041.53s -> 6043.53s]  why I should be banned? You could, yeah.
[6043.53s -> 6046.54s]  You could. If you really
[6046.54s -> 6051.59s]  wanted to. But that's going to be
[6051.59s -> 6053.77s]  it. See you guys tomorrow.
[6053.77s -> 6057.22s]  Four p.m. Pacific. I'm excited.
[6057.22s -> 6059.22s]  You're excited. We're all excited.
[6059.22s -> 6062.62s]  Have a wonderful rest of your evening.
[6062.62s -> 6065.82s]  Sorry again
[6065.82s -> 6068.12s]  for Rockstar's servers
[6068.12s -> 6070.92s]  not working. Good night.
[6070.92s -> 6074.04s]  Take care. See you tomorrow.
