[0.57s -> 2.84s]  How are you doing?
[1977.80s -> 1984.62s]  Oh, it's um, yeah, it's one four twenty twenty one guys every single time
[1984.62s -> 1987.42s]  I filled out a piece of paper where there was a clerk in front of me
[1987.74s -> 1990.06s]  They had to tell me what the date was every single time
[1990.06s -> 1997.02s]  I never know what day it is and sometimes they have to tell me twice because they'll say that. Oh, yeah. Yeah
[1997.02s -> 2003.18s]  Yeah, yeah, four five twenty twenty. Oh, yeah. Yeah. Cool. Thank you and I fill out the paper and then I have to go
[2004.62s -> 2006.46s]  four
[2006.46s -> 2010.06s]  Five five twenty twenty. Oh, yeah. Yeah. Thank you. Oh, yeah, that's I thought
[2012.74s -> 2024.49s]  So, come on this is battleship. Oh, is this actually this is the real battleship where you have to like
[2025.37s -> 2026.89s]  guess where uh
[2026.89s -> 2028.89s]  People's boats are and stuff
[2029.46s -> 2031.14s]  I told you this already
[2031.14s -> 2033.14s]  You know, I talked about like the next twitch thing
[2033.46s -> 2036.42s]  Let me call it for you. I'm calling it for you right now. We had like
[2037.06s -> 2040.26s]  It was all kinds of different trends on twitch right over the last few years
[2041.88s -> 2043.16s]  among us
[2043.16s -> 2045.16s]  Chess was huge for a while
[2045.32s -> 2049.64s]  Rust is getting big right now. The next one's gonna be battleship. It's gonna be fucking battleship
[2050.74s -> 2052.90s]  It will be huge drama around battleship
[2053.62s -> 2056.18s]  Within the next six months. I guarantee it
[2057.27s -> 2063.08s]  100 guarantee it
[2063.08s -> 2068.50s]  You come to me you come to me when i'm correct. I don't care. It doesn't matter how long it is
[2068.58s -> 2072.01s]  It could be six months
[2072.01s -> 2075.21s]  Hey, you want the absolute best tip for battleship put every single boat
[2075.93s -> 2077.93s]  Right next to each other in the exact same corner
[2087.27s -> 2093.03s]  Your friends will sit all over that top left part of the map and be like I have no fucking idea where this dude is
[2093.59s -> 2101.56s]  Here we go. All right, where are they? That's right here. Oh you've sunk you did I miss
[2102.52s -> 2108.78s]  Wait, what are we gonna? You're not gonna find shit. Oh, I don't know where it is over here, dude. Nope wrong
[2109.18s -> 2110.94s]  Don't get it wrong every time
[2110.94s -> 2114.23s]  How about right here?
[2114.23s -> 2116.23s]  Oh bear just missed
[2119.62s -> 2121.14s]  You're never gonna find it
[2121.14s -> 2128.89s]  Okay, what about what if he's doing the same thing?
[2129.45s -> 2131.34s]  Did I get it?
[2131.34s -> 2132.54s]  Is that a hit?
[2132.54s -> 2137.72s]  No
[2137.72s -> 2142.52s]  Either this strategy or all four corners is the best strategy because people just don't think you're ever gonna do that
[2143.16s -> 2151.42s]  Whoa? Whoa? Whoa? Whoa? Whoa? Whoa? Whoa? Whoa? What was that?
[2152.06s -> 2154.14s]  What is this?
[2154.14s -> 2158.98s]  How does he have a four shot?
[2158.98s -> 2160.98s]  Um, excuse me. That's not fair
[2163.16s -> 2166.44s]  And where's mine that shoots four times?
[2168.31s -> 2172.54s]  That's fucking ridiculous
[2173.11s -> 2180.42s]  Why did he get that?
[2180.42s -> 2182.42s]  That's absolutely unfair
[2183.69s -> 2185.69s]  That was a hit. Okay, that's a hit. I know where he is
[2186.49s -> 2190.58s]  Yeah, good luck finding the rest of them
[2190.82s -> 2192.98s]  Right now he's oh right. He can do basic math
[2196.14s -> 2200.78s]  Found yeah, but that's so unfair. You found me because you had the four shooter. That's unbelievable
[2201.58s -> 2203.26s]  He's doing the same thing
[2203.26s -> 2208.95s]  This would have taken him at least four or five more turns
[2209.51s -> 2216.10s]  All right, that's one destroyer. I sunk the destroyer
[2219.62s -> 2221.62s]  All right, so i'm technically in the lead
[2224.78s -> 2230.78s]  I hope he's doing the exact same strat. Ah damn it
[2234.31s -> 2236.31s]  Pre-recorded what what are you talking about?
[2242.60s -> 2245.73s]  Um, i'm gonna say right here. Oh shit
[2249.88s -> 2253.44s]  Is it gonna be close?
[2253.44s -> 2255.84s]  No, but the computer has a bunch of algorithms inside of its head
[2256.56s -> 2258.48s]  It can do that math
[2258.48s -> 2261.12s]  A human does not a human has no idea what's going on
[2261.68s -> 2266.68s]  And then by the time they figure it out
[2267.09s -> 2272.53s]  They look up at you from across the table. They're like dude. No, you did not do that
[2273.25s -> 2275.25s]  No, you didn't
[2275.33s -> 2277.33s]  And I said like
[2277.89s -> 2279.65s]  You didn't know I did
[2279.65s -> 2281.65s]  Dude, no, you didn't
[2282.45s -> 2292.50s]  This computer knows where these are because it's gotta it's literally doing a math problem right now to know what these are
[2298.31s -> 2300.31s]  Music's a banger. Yes, it's pretty good
[2302.98s -> 2304.98s]  Okay, but he technically doesn't know where the other one is
[2313.06s -> 2314.47s]  Right here
[2314.47s -> 2318.04s]  Nope, he does. No, but he can't he doesn't know
[2319.27s -> 2322.92s]  He's still gonna take him. Uh
[2322.92s -> 2324.20s]  It's over. I lose
[2324.20s -> 2326.95s]  but wait, no, no, that was the the
[2331.68s -> 2335.28s]  Can we stop talking about how bad I am at battleship and start talking about how?
[2336.14s -> 2338.80s]  Unbelievable it is that you got to shoot four times in one turn
[2339.76s -> 2350.74s]  Um, I come we're not talking about that and change your weapon
[2354.69s -> 2355.65s]  how
[2355.65s -> 2369.00s]  press select
[2369.00s -> 2371.99s]  Oh my god, what? Why?
[2378.34s -> 2379.94s]  Mine's even better
[2379.94s -> 2388.87s]  I missed all of them. But whatever it doesn't matter because you know where to come. You know who to talk to
[2390.42s -> 2395.54s]  When all the top streamers are going back and forth in a huge drama on battleship
[2404.68s -> 2411.46s]  You missed all it doesn't whatever who cares next he lost in 20 turns
[2412.10s -> 2414.42s]  Yeah, but doesn't matter
[2414.42s -> 2416.88s]  Oh, I pressed. It's number 10
[2416.88s -> 2423.52s]  Sorry, I pressed it before you can see it. 10 is robocop 4. We're gonna skip robocop 1 2 and 3
[2424.24s -> 2428.24s]  Which okay, that's fine
[2428.24s -> 2431.56s]  robocopa 4
[2431.56s -> 2436.13s]  in 1992
[2436.13s -> 2443.65s]  1992 presents the year a production of some sort. This was made somehow
[2444.58s -> 2451.32s]  Robocop with a baby or a child. What why does the child have a machine gun?
[2452.84s -> 2459.48s]  What the fuck?
[2459.48s -> 2461.76s]  Okay
[2461.76s -> 2464.37s]  uh
[2464.37s -> 2466.37s]  Let's play how come I can't
[2466.93s -> 2469.88s]  I can't press any buttons
[2469.88s -> 2473.00s]  On the shoulder. Yeah, what the hell is going? I can't press anything
[2475.11s -> 2479.11s]  No buttons do anything. We just get to see the high scores of robocop 4. Okay, there we go
[2479.83s -> 2481.03s]  start
[2481.11s -> 2486.33s]  Command.com load bios memory system. That is okay crime in progress penal code is 139.1
[2487.11s -> 2492.79s]  voice analysis officer lewis and current position esposito and charlmers i'm on my way lewis
[2494.23s -> 2499.83s]  Cadillac heights dusk rescue your trapped colleagues from the clutches of the evil splatter punks things may go
[2500.31s -> 2502.47s]  Things are gonna go on behind closed doors. What?
[2503.43s -> 2508.56s]  Why was I like leaning back his robocop? He was just like leaning back in the car
[2512.23s -> 2514.23s]  He's just like
[2514.55s -> 2516.55s]  Okay, so do I how do I select weapons?
[2517.03s -> 2520.93s]  Oh missile
[2521.01s -> 2530.64s]  Hiding the trash watch out. We got a cyberpunk over there
[2534.88s -> 2536.88s]  Is that a mario power thing?
[2541.40s -> 2545.52s]  p-block
[2545.52s -> 2548.80s]  I'm i'm actually that's what that is. I'm just being completely honest with you
[2549.44s -> 2551.11s]  How do I get it?
[2551.11s -> 2558.50s]  Oh, give me a break. It's one of these. Whatever
[2562.13s -> 2564.13s]  And this is this is actual song
[2566.47s -> 2568.47s]  I'm gonna get in come and get it scum
[2571.65s -> 2573.97s]  Time's up. No, it's not what are you talking about?
[2574.77s -> 2579.01s]  Oh, this is wario block firepower upgraded. Holy shit. Nice
[2582.50s -> 2587.80s]  rapid fire
[2587.80s -> 2589.92s]  Time's up
[2589.92s -> 2591.92s]  No, I took the timer off
[2592.16s -> 2594.85s]  What does the p-block do?
[2594.85s -> 2596.61s]  Efficiency increased
[2596.61s -> 2604.16s]  Oh, okay. Cool. Oh my god. Actually, I like this one. This one's really fun
[2604.80s -> 2608.69s]  I mean, it's very illegal very illegal but like fun
[2609.33s -> 2620.16s]  It's time to wake up. No, i'm not getting out of bed yet five more minutes
[2620.56s -> 2628.76s]  How many robocop movies were there two?
[2629.32s -> 2637.33s]  I don't remember three
[2637.33s -> 2641.17s]  No, i'm not done yet with robocop. I'm playing it still we don't have timers anymore
[2641.97s -> 2650.98s]  This game has upgrades
[2650.98s -> 2652.98s]  Warning armed units damaged
[2653.46s -> 2656.04s]  What my arms are damaged? Okay, whatever
[2656.76s -> 2665.84s]  This is grand finale right here. You just walked up and you have a gun dude. Why are you walking up to kick me?
[2668.82s -> 2678.79s]  missiles
[2678.79s -> 2680.63s]  Yes
[2680.63s -> 2684.23s]  Well done officer prepared to enter repair laboratory. Oh nice
[2686.07s -> 2688.07s]  Why am I strapped in?
[2690.07s -> 2692.07s]  They have my ankles bound
[2692.63s -> 2694.63s]  And my arms bound why?
[2700.36s -> 2702.36s]  All right. Didn't say my arms were damaged. All right
[2703.46s -> 2705.46s]  0.005 percent
[2705.64s -> 2709.12s]  Is that 22? Okay, this is yeah, we got to repair this
[2710.00s -> 2713.99s]  Oh look how damaged this is. All right body
[2714.87s -> 2718.77s]  Here we go
[2718.77s -> 2725.49s]  Please confirm repairs press a to accept or b to relocate
[2727.60s -> 2729.52s]  rocket motors factory
[2729.52s -> 2732.24s]  Nice. All right. I'm going till I die. I don't care. I like this one
[2732.88s -> 2739.22s]  I like this one a lot
[2743.35s -> 2746.36s]  I haven't died yet. I'm going till I die
[2746.36s -> 2749.88s]  I don't care if this is a 24-hour stream. I'm not stopping till I die one time in robocop 4
[2750.84s -> 2756.98s]  This one's fun as fuck dude
[2760.76s -> 2763.24s]  Was unit my head malfunctioned. I just walked
[2767.06s -> 2769.06s]  Okay, um, my controls are backwards now
[2770.42s -> 2776.04s]  When I hold right it goes left because my head unit is malfunctioning. Okay, that's so stupid
[2782.08s -> 2785.04s]  Anytime it says head unit malfunction my controls are backwards
[2787.06s -> 2789.06s]  Hi missiles upgraded sick
[2793.40s -> 2794.60s]  Nice
[2794.60s -> 2798.07s]  Shit, I need that p-block
[2798.07s -> 2802.12s]  Oh a ninja
[2802.12s -> 2804.04s]  missiles are jammed
[2804.04s -> 2814.12s]  What missiles jammed again? Why is robocop such a fucking tin can?
[2814.84s -> 2838.53s]  Gotta get those auto attacks. I have eight percent health bad very bad. I'm dead
[2843.40s -> 2845.00s]  Get away from me
[2845.00s -> 2850.40s]  Wait, he's at 33 if I just land these I get it
[2852.13s -> 2877.24s]  Uh, fuck that was robocop 4193. I like the sound this makes
[2877.96s -> 2880.38s]  It's pretty nice
[2880.38s -> 2886.69s]  193 tetris 2 they don't like tetris. You saw dr mario not a fan at all
[2887.33s -> 2890.40s]  He lost to the ninja omega lull
[2890.64s -> 2893.65s]  That's not even a big deal
[2893.73s -> 2901.84s]  tetris 2
[2901.84s -> 2905.76s]  Level zero handicap zero music select silence
[2907.42s -> 2909.42s]  Loginska bradinskay
[2910.22s -> 2916.80s]  Karinka trika, which one where's the
[2929.66s -> 2932.42s]  Which one is it is it this one
[2940.16s -> 2961.42s]  That's not even right I like this one the best it's going on the right side of the screen
[2968.86s -> 2970.86s]  Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait
[2971.74s -> 2974.62s]  Here it goes. Oh
[2983.26s -> 2990.66s]  It's just tetris, okay cool, I guess no ooey gooey
[2993.07s -> 3001.49s]  All right, can I do this can I do something crazy here? No, I can't um, which way which way over here?
[3003.65s -> 3013.22s]  Uh over here. Um, which way over here? Wait, I got I I have an idea
[3013.86s -> 3019.70s]  Oh my god, what do I do? Um, okay. This one's fine. I gotta snake one of those uh ones in there
[3027.63s -> 3030.11s]  I don't I don't know. I guys I don't play tetris ever
[3031.31s -> 3033.36s]  Um
[3033.36s -> 3039.50s]  I need that one. That's what I want
[3039.50s -> 3041.02s]  Yes, okay
[3041.02s -> 3044.43s]  No, I need the other z what do I do with this one?
[3045.23s -> 3046.77s]  I don't know
[3046.77s -> 3060.38s]  That's what I want. There it is. Can I snake this in there? Can I let's see
[3061.92s -> 3064.64s]  Fuck, okay. I can't I keep snaking it. I can't do it
[3066.59s -> 3072.82s]  I'm okay. I'm okay. Okay. Okay. Everything's fine. That was a double double double
[3081.52s -> 3095.87s]  Mm-hmm still on level zero. I can't think of something. I would rather not do than play
[3096.59s -> 3098.51s]  tetris
[3098.51s -> 3102.67s]  Some of you guys are so into this i'm not at all and I mean really at all
[3103.23s -> 3106.75s]  I never was even when I was younger this game came out when I was a kid
[3107.79s -> 3110.67s]  This is a big deal when this came out. I remember
[3111.47s -> 3113.47s]  Everyone was obsessed with it. Not me
[3115.22s -> 3117.22s]  I don't care at all about this
[3121.07s -> 3123.79s]  It's classic. I have to respect it right because I mean, come on. It's a classic
[3124.77s -> 3126.85s]  That's like what you can't but you're gonna hate donkey kong. How?
[3128.11s -> 3132.56s]  can't
[3132.56s -> 3134.56s]  That I just like the way that looks that's why I did that
[3135.52s -> 3142.66s]  Give me the one the l that goes that way. Is that the one is it the l gonna go that way?
[3144.42s -> 3146.50s]  Shit, come on, dude. Really?
[3146.50s -> 3150.58s]  Oh my god. Damn it. I need the l that I need the l to coast the other way
[3151.30s -> 3153.30s]  Oh now i'm in trouble
[3154.58s -> 3158.66s]  This is bad, this is bad. I didn't play this game. I didn't I don't care about this game
[3158.82s -> 3162.66s]  I told you a thousand times. You know how many times I have to tell you. I don't do I have to tell you another time
[3166.30s -> 3171.18s]  Saved
[3171.18s -> 3176.08s]  Oh, yeah
[3176.08s -> 3184.69s]  You didn't see me lose therefore. I didn't 453. I didn't play tetris. I didn't like it
[3186.02s -> 3188.26s]  I reacted the same way when I was eight
[3191.50s -> 3194.21s]  453
[3194.21s -> 3196.21s]  mo ya
[3196.21s -> 3223.79s]  Jin, um, I don't know what that says stage one rest three. Okay, what I can jump I have to collect these
[3225.70s -> 3240.24s]  Holy shit mo ya jin is the best game on here. Are you serious? This is awesome. Oops. Okay. I I
[3241.46s -> 3246.10s]  I don't know where I was. All right, let's do it again
[3246.10s -> 3253.09s]  This I like this one mo ya jin. Can I jump up so then I whack it while i'm on it, right?
