[22.33s -> 23.67s]  Somebody said,
[13885.52s -> 13887.52s]  put blue cheese on almost every single meal.
[13887.52s -> 13903.96s]  Look at how nice and
[13903.96s -> 13905.96s]  colorful. Oh, look. SpongeBob.
[13905.96s -> 13918.57s]  Wow. Why are you not
[13918.57s -> 13921.84s]  at Coachella? I don't think I could name
[13921.84s -> 13923.84s]  you one band that's currently playing
[13923.84s -> 13926.20s]  at Coachella right now. I just don't think I could.
[13926.20s -> 13936.24s]  Okay. I need
[13936.24s -> 13943.15s]  What are they? What do they got? Decorations.
[13943.15s -> 13949.29s]  I need some nautical stuff.
[13949.29s -> 13970.83s]  Hmm. Let's see. There's
[13970.83s -> 13972.83s]  a hand dryer. There's a nautical.
[13972.83s -> 13982.24s]  There's a barrel. Oh, no. I thought I planted
[13982.24s -> 13990.43s]  other stuff. The gorillas are at Coachella
[13990.43s -> 13999.00s]  right now? Are you serious? Oh, shit.
[13999.00s -> 14001.00s]  Okay. Krusty Krab. Let's focus on one room
[14001.00s -> 14006.25s]  at a time, please.
[14006.25s -> 14009.13s]  I just typed in Krusty Krab
[14009.13s -> 14013.36s]  Coachella. Krusty Krab
[14013.36s -> 14028.84s]  restaurant floor. I mean,
[14028.84s -> 14034.48s]  there's not much else in here. There's a menu
[14034.48s -> 14037.29s]  that's up here. There's the door over there.
[14037.29s -> 14040.43s]  Okay. There's the door to
[14040.43s -> 14042.43s]  Mr. Krab's office, which let me go in there.
[14042.43s -> 14062.27s]  I can't even look at this because it's such a placeholder.
[14062.27s -> 14092.09s]  I can't even look at it. How about Minecraft
[14092.09s -> 14103.80s]  Cherry Blossom Forest?
[14103.80s -> 14119.29s]  It needs to be a little bit wider. I gotta
[14119.29s -> 14121.29s]  type this door. What is this? It's called
[14121.29s -> 14123.29s]  like something. Sounds like a C, right?
[14123.29s -> 14127.90s]  So I don't have to scroll down the never-ending
[14127.90s -> 14131.48s]  where is it? What the hell is it called?
[14131.48s -> 14136.22s]  It's called KY.
[14136.22s -> 14162.91s]  Okay. I guess I can only do
[14162.91s -> 14180.12s]  singles. I need a painting.
[14180.12s -> 14188.06s]  Something that looks like a menu.
[14188.06s -> 14221.64s]  Could be a menu. Oh, I can also import
[14221.64s -> 14230.22s]  images. That's true. Okay. Krusty
[14230.22s -> 14234.06s]  Krab
[14234.06s -> 14247.68s]  signs? Krusty Krab
[14247.68s -> 14258.24s]  Krusty Krab menu sign. It's kind of hard
[14258.24s -> 14262.89s]  to get a clean image of this.
[14262.89s -> 14264.89s]  I can get the big thing that's
[14264.89s -> 14268.67s]  outside. We'll do that later.
[14268.67s -> 14272.56s]  We're not done with our
[14272.56s -> 14298.80s]  internals here. Ugly, ugly, ugly,
[14298.80s -> 14301.48s]  ugly. We need these
[14301.48s -> 14303.66s]  glass panels
[14303.66s -> 14322.60s]  all over here. It sits on there weird.
[14322.60s -> 14345.87s]  Okay. Not bad. Not
[14345.87s -> 14354.00s]  bad. I want to put another one here, but
[14354.00s -> 14359.56s]  I don't think I have enough room for it. What happened to the music?
[14359.56s -> 14367.74s]  Oh, I closed the window.
[14367.74s -> 14370.30s]  What should I put on? Terraria? Terraria?
[14370.30s -> 14373.05s]  Okay. We've done that before. We did a little bit of Startup Valley.
[14373.05s -> 14382.57s]  Morrowind? RuneScape?
[14382.57s -> 14389.04s]  Pizza Tower is a little too intense
[14389.04s -> 14397.55s]  right now. Morrowind sounds pretty good.
[14397.55s -> 14415.84s]  There it is.
[14415.84s -> 14417.84s]  The Elder Scrolls III Morrowind.
[14428.54s -> 14430.54s]  I'm kidding. I know everyone's going to freak out.
[14430.54s -> 14446.09s]  So this is just more of the restaurant,
[14446.09s -> 14448.09s]  but this is way too big.
[14448.09s -> 14450.09s]  This is the Krusty Krab. This is how
[14450.09s -> 14455.21s]  big it is. There's no way
[14455.21s -> 14458.09s]  that I...
[14458.09s -> 14461.48s]  Here's my plan.
[14461.48s -> 14463.48s]  I'm getting my fucking zone that I want.
[14463.48s -> 14466.75s]  I'm getting my zone.
[14466.75s -> 14492.72s]  It's going to be a secret entrance.
[14492.72s -> 14496.68s]  I'm making my sanctuary.
[14496.68s -> 14501.61s]  You can go to the Krusty Krab all you want.
[14501.61s -> 14506.54s]  Me. I'll be in this room.
[14506.54s -> 14540.36s]  Crack shed.
[14540.36s -> 14542.36s]  This is the room he goes into to escape us.
[14542.36s -> 14573.85s]  One more piece.
[14573.85s -> 14592.60s]  I want my tub.
[14592.60s -> 14611.28s]  Thank you. I want a different
[14611.28s -> 14627.98s]  trim. Yeah.
[14627.98s -> 14644.48s]  We need a wall.
[14644.48s -> 14655.60s]  Wall tile. I'm clean.
[14655.60s -> 14668.14s]  How about these? I need to see the whole
[14668.14s -> 14677.55s]  thing. It's too bright. Well, we can
[14677.55s -> 14682.22s]  change the lighting. A little too
[14682.22s -> 14691.05s]  much going on. A little too loud.
[14691.05s -> 14701.74s]  Yeah, it's a little too loud.
[14701.74s -> 14707.44s]  This might be pretty good.
[14707.44s -> 14718.70s]  Put it down.
[14718.70s -> 14732.44s]  Pick it up. That is smoky.
[14732.44s -> 14735.07s]  I like it. Look at how smoky
[14735.07s -> 14770.33s]  this is. Can't stand in the pool.
[14770.33s -> 14780.88s]  Nice.
[14780.88s -> 14783.76s]  Just wait till I get the ambient lighting
[14783.76s -> 14785.93s]  in here. You are going to shit your
[14785.93s -> 14822.28s]  pants. This room is kind of freaking me out.
[14822.28s -> 14824.28s]  I don't like it. It's like too much going on.
[14824.28s -> 14827.42s]  I need ambient lighting in here. Quick.
[14827.42s -> 14838.22s]  I need really cool
[14838.22s -> 14840.22s]  ambient lighting in here.
[14840.22s -> 14847.71s]  As soon as humanly possible.
[14847.71s -> 14866.70s]  Yeah. Yeah.
[14866.70s -> 14868.70s]  Dude, that's real subtle. I know.
[14868.70s -> 14874.01s]  I need, hold on. Star Wars?
[14874.01s -> 14898.97s]  I'm not comfortable in here
[14898.97s -> 14905.69s]  yet. This feels like
[14905.69s -> 14907.69s]  a fake
[14907.69s -> 14909.93s]  room for a prank show.
[14909.93s -> 14912.88s]  Oh, yes. Come right this way, Mr.
[14912.88s -> 14914.88s]  Hudson. Come over here. Come to our beautiful spa.
[14914.88s -> 14917.31s]  It's like, oh, okay.
[14917.31s -> 14921.02s]  Someone's going to do something.
[14921.02s -> 14924.73s]  Someone's going to fuck with me here. The walls are going to collapse
[14924.73s -> 14926.73s]  and a bunch of gorillas are going to
[14926.73s -> 14930.83s]  attack me in here.
[14930.83s -> 14937.80s]  This is a prank room. But it's not done yet.
[14937.80s -> 14951.93s]  Let me finish it.
[14951.93s -> 14955.58s]  I need pool lights.
[14955.58s -> 14959.16s]  Do they have pool lights?
[14959.16s -> 14967.93s]  I don't think so. Well, that's going up.
[14967.93s -> 14971.84s]  That's a Krusty Krab thing.
[14971.84s -> 14987.39s]  What color is this? I don't want it too bright.
[14987.39s -> 14991.29s]  This seems pretty relaxing.
[14991.29s -> 15013.12s]  It's too many.
[15013.12s -> 15018.56s]  Well, it says they were small.
[15018.56s -> 15033.13s]  Why is it so bright?
[15033.13s -> 15035.44s]  Put up fairy lights? Do they have them?
[15035.44s -> 15041.07s]  I don't think they have stuff like that.
[15041.07s -> 15061.61s]  Stop putting it away.
[15061.61s -> 15107.74s]  There's no water even in there.
[15107.74s -> 15137.95s]  Neons. I got to get this brick out of here.
[15137.95s -> 15154.91s]  It's pissing me off. I'm going to
[15154.91s -> 15156.91s]  buy like 5,000 of these.
[15156.91s -> 15159.34s]  So I just never have to buy them again.
[15159.34s -> 15161.84s]  I don't care if I store them in a fucking shed in the backyard.
[15161.84s -> 15193.82s]  Jesus.
[15193.82s -> 15195.82s]  If I touch the water,
[15195.82s -> 15197.82s]  everything goes away.
[15197.82s -> 15214.14s]  Hey, could you go this song?
[15214.14s -> 15222.06s]  Let me listen to it again.
[15222.06s -> 15231.66s]  What does it go?
[15243.29s -> 15257.88s]  It's so old.
[15257.88s -> 15260.38s]  That's a very old meme.
[15260.38s -> 15270.94s]  I am not trapped. I'll be okay.
[15270.94s -> 15273.63s]  Because I'm going to make an opening
[15273.63s -> 15276.64s]  over here.
[15276.64s -> 15323.72s]  The door will probably be right here.
[15323.72s -> 15325.72s]  Now, there's a door right here, isn't there?
[15325.72s -> 15329.93s]  Or am I making that up? Isn't there a door right here?
[15329.93s -> 15335.50s]  No, it's not.
[15335.50s -> 15349.56s]  Really? Okay.
[15349.56s -> 15352.06s]  House Slipper 2 comes out this year,
[15352.06s -> 15354.24s]  doesn't it? In like a few months.
[15354.24s -> 15356.67s]  I think that's when it's
[15356.67s -> 15372.41s]  planning on coming out.
[15372.41s -> 15376.38s]  4 to 3? Cool.
[15376.38s -> 15391.68s]  100% we're playing it.
[15391.68s -> 15394.49s]  So now, I've got to fix that.
[15394.49s -> 15397.05s]  I've got to add the green
[15397.05s -> 15399.05s]  here and then the walls.
[15399.05s -> 15401.48s]  So let's buy a shitload of the walls.
[15401.48s -> 15409.80s]  I wish the recently purchased was bigger than this.
[15409.80s -> 15413.32s]  Instead of having to go to
[15413.32s -> 15416.14s]  walls and then all the way down.
[15416.14s -> 15419.71s]  Because I know what I want.
[15419.71s -> 15421.71s]  Or I could just remember how to type it into the search bar.
[15421.71s -> 15424.97s]  Instead of just glazing over
[15424.97s -> 15426.97s]  what it's called every single time.
[15426.97s -> 15438.67s]  You guys like this one?
[15438.67s -> 15450.12s]  Floors.
[15450.12s -> 15453.20s]  It was the green.
[15453.20s -> 15455.50s]  Was it a tile or was it a panel?
[15455.50s -> 15458.06s]  It was pretty far down.
[15458.06s -> 15470.16s]  Crusty Crab.
[15470.16s -> 15477.39s]  Now,
[15477.39s -> 15479.39s]  that's it for the floors of the Crusty Crab.
[15479.39s -> 15481.39s]  We're getting close to being done with this.
[15481.39s -> 15483.39s]  Then I just have to finish the upstairs.
[15483.39s -> 15489.72s]  Do I want any weird lights in here?
[15489.72s -> 15503.40s]  Hmm.
[15503.40s -> 15505.40s]  I don't think I want any lights in here.
[15505.40s -> 15520.32s]  Besides the ones that are already there.
[15520.32s -> 15522.32s]  I'm going to put, uh, this should be it though.
[15522.32s -> 15524.32s]  Yeah. Alright. So I need like
[15524.32s -> 15536.27s]  probably enough.
[15536.27s -> 15538.27s]  Why do I always have to do that?
[15538.27s -> 15540.89s]  Change the roof? Yeah, well, I'll mess around with the
[15540.89s -> 15549.40s]  exterior in a minute. Alright, so the next time
[15549.40s -> 15551.40s]  I play this, which will be at some point
[15551.40s -> 15553.40s]  soon. I'm not, the stream's not over by the way.
[15553.40s -> 15555.40s]  Um, but we will actually
[15555.40s -> 15560.19s]  cows and horses into stuff.
[15560.19s -> 15562.19s]  He got me on this Crusty Crab thing and I'm
[15562.19s -> 15582.97s]  stuck on it.
[15582.97s -> 15584.97s]  Favorite childhood snack. That's a good one.
[15584.97s -> 15589.13s]  Uh, PB Crisps.
[15589.13s -> 15592.44s]  They don't make them anymore.
[15592.44s -> 15594.44s]  I don't know what was in them. I don't know
[15594.44s -> 15597.07s]  why they won't bring them back.
[15597.07s -> 15599.07s]  Those were my favorite snack. Probably ever.
[15599.07s -> 15603.28s]  They're gone forever.
[15603.28s -> 15618.12s]  Actually gone forever.
[15618.12s -> 15620.12s]  Mr. Crab's office is so bad.
[15620.12s -> 15624.86s]  Okay. Can I put wood on the ceiling?
[15624.86s -> 15640.14s]  Let me see.
[15640.14s -> 15642.14s]  As it said, panels, right?
[15642.14s -> 15644.14s]  Floor and ceiling? Floor and ceiling panels.
[15644.14s -> 15653.42s]  I can.
[15653.42s -> 15657.13s]  What kind of, what is it? It's a little darker than this.
[15657.13s -> 15664.73s]  This? Mmm, that's kind of
[15664.73s -> 15666.91s]  alright. Is that good enough?
[15666.91s -> 15689.04s]  I think it's fine.
[15689.04s -> 15693.20s]  Can you play less sad music?
[15693.20s -> 15695.20s]  This is a little somber, isn't it? Okay.
[15695.20s -> 15720.72s]  Um, how about, what's something we can put on?
[15720.72s -> 15723.66s]  Sims buy mode? I like that one.
[15723.66s -> 15748.28s]  Cool.
[15748.28s -> 15751.29s]  Alright. We need to make this area cool looking.
[15751.29s -> 15754.30s]  Relaxing Gran Turismo
[15754.30s -> 15756.30s]  music to help you relax.
[15756.30s -> 15770.94s]  Really? I dig it. I'm into it.
[15770.94s -> 15807.92s]  Let's see if it helps. What's the outside of the Krusty
[15807.92s -> 15817.63s]  Crab look like? Let's see.
[15817.63s -> 15819.63s]  Krusty Crab. It's really good. It's kind of
[15819.63s -> 15822.76s]  green. It's like
[15822.76s -> 15832.30s]  olive. It's kind of like olive
[15832.30s -> 15845.08s]  wood. It's brown?
[15845.08s -> 15851.34s]  This looks kind of green.
[15851.34s -> 15853.34s]  It's wood covered with algae.
[15853.34s -> 15855.34s]  Oh. I mean, it's still green looking.
[15855.34s -> 15868.65s]  Dude, this shit is green.
[15868.65s -> 15870.96s]  This shit is literally green.
[15870.96s -> 15873.26s]  This is not
[15873.26s -> 15875.26s]  brown.
[15875.26s -> 15877.26s]  This is green. This is a green
[15877.26s -> 15890.06s]  tinted brown. Show us.
[15890.06s -> 15903.95s]  Show us.
[15903.95s -> 15906.89s]  All these Krusty Crabs.
[15906.89s -> 15913.93s]  Krusty Crab exterior.
[15913.93s -> 15917.07s]  This shit is green.
[15917.07s -> 15944.52s]  This shit's green. That's green.
[15944.52s -> 15947.72s]  That's brown and green.
[15947.72s -> 15958.59s]  Look at all that green.
[15958.59s -> 15960.59s]  It's wood with moss.
[15960.59s -> 15962.59s]  Yeah, but I mean, it's still like, how am I
[15962.59s -> 15964.59s]  how do I get that to look like that?
[15964.59s -> 15966.76s]  This is going to have to be just brown.
[15966.76s -> 15978.16s]  What is brown? Shit's green.
[15978.16s -> 15983.66s]  I thought my game crashed. I was
[15983.66s -> 15987.31s]  supposed to be really sad.
[15987.31s -> 15989.31s]  That's brown with green on it.
[15989.31s -> 15991.74s]  I don't know why I think that's so funny.
[15991.74s -> 16001.40s]  I'm moving on.
[16001.40s -> 16008.57s]  All right.
[16008.57s -> 16010.57s]  All right.
[16010.57s -> 16022.80s]  All right. Windows jump
[16022.80s -> 16024.80s]  scare. Oh shit. Sorry. I didn't realize it was
[16024.80s -> 16030.75s]  turned up. Well, just do
[16030.75s -> 16034.52s]  this. I
[16034.52s -> 16036.52s]  need it. No, I'm not doing the exterior.
[16036.52s -> 16041.32s]  I do want to pull in that
[16041.32s -> 16043.32s]  sign though. The menu.
[16043.32s -> 16045.82s]  Mod linked it here.
[16045.82s -> 16051.24s]  Galley Grub.
[16051.24s -> 16053.24s]  How do I add this?
[16053.24s -> 16058.67s]  I think I have to pull it in.
[16058.67s -> 16070.25s]  Save this link.
[16070.25s -> 16078.89s]  So much shit on my desktop.
[16078.89s -> 16091.18s]  Windows sound incoming. Let me turn it down.
[16091.18s -> 16100.91s]  So here is what the I'm going to try to get the
[16100.91s -> 16102.91s]  menu into the game. And this is what I'm trying
[16102.91s -> 16108.22s]  to put in here. So then I go.
[16108.22s -> 16113.98s]  I think it's like a camera gallery.
[16113.98s -> 16115.98s]  I got a lot of shit on my desktop.
[16115.98s -> 16134.33s]  So I'm going to do this.
[16134.33s -> 16140.03s]  All right. Let's go. How big should it be?
[16140.03s -> 16157.40s]  Where does it go? I'm right there, right?
[16157.40s -> 16160.99s]  Is it bigger? A little bit bigger.
[16160.99s -> 16179.79s]  Is that too big? That's not bad.
[16179.79s -> 16187.85s]  Can it hang from the ceiling? I don't think
[16187.85s -> 16195.98s]  so, unfortunately. Yeah. And everybody
[16195.98s -> 16197.98s]  was telling me that this was not going to
[16197.98s -> 16199.98s]  even look remotely like the Krusty
[16199.98s -> 16202.73s]  Krab. And we're not even done.
[16202.73s -> 16204.97s]  Finishing touches is all that
[16204.97s -> 16209.26s]  matter. The bathroom is way too big.
[16209.26s -> 16213.61s]  I have to
[16213.61s -> 16215.61s]  do this room. This room is just a placeholder.
[16215.61s -> 16220.60s]  I got to get this a little bit
[16220.60s -> 16225.85s]  nicer looking. Playing with this is to
[16225.85s -> 16230.89s]  go like this.
[16230.89s -> 16243.95s]  All right. One thing at a time. What do I want to add?
[16243.95s -> 16245.95s]  Is there anything down the hallway in the Krusty Krab
[16245.95s -> 16258.62s]  here? It is hanging. Oh, there's an order
[16258.62s -> 16262.97s]  here assigned to. I want to see
[16262.97s -> 16264.97s]  if I can get some nautical stuff here because there's
[16264.97s -> 16274.30s]  let me see. What
[16274.30s -> 16276.80s]  do you like? Anchor? Like a ship
[16276.80s -> 16280.17s]  anchor. Like ship.
[16280.17s -> 16282.17s]  Oh, OK.
[16282.17s -> 16284.73s]  I know I can put one of these
[16284.73s -> 16290.92s]  somewhere. Bingo.
[16290.92s -> 16293.55s]  And where should this go?
[16293.55s -> 16300.72s]  In the office?
[16300.72s -> 16304.68s]  This needs a total complete
[16304.68s -> 16308.97s]  reimagining. I could go to the steam workshop
[16308.97s -> 16311.21s]  too. I could do the steam workshop.
[16311.21s -> 16322.60s]  Nice Gmod office. I
[16322.60s -> 16327.66s]  know. Is a mini safe. All right.
[16327.66s -> 16329.66s]  So is there anything else in this main
[16329.66s -> 16332.28s]  room that is not here that
[16332.28s -> 16347.37s]  needs to be here? The sinks?
[16347.37s -> 16349.37s]  I can't really put glass over here because it won't.
[16349.37s -> 16354.22s]  You need wooden pillars.
[16354.22s -> 16356.22s]  Hmm. Wooden pillars.
[16356.22s -> 16359.34s]  All right. Fix the hole
[16359.34s -> 16364.46s]  where the pillar is. Let me look.
[16364.46s -> 16379.05s]  OK, they I don't think I can put those
[16379.05s -> 16381.05s]  in. They go across the ceiling, right?
[16381.05s -> 16385.85s]  Well, look, there's a couple that are on the ground.
[16385.85s -> 16387.85s]  Looks like to the left and right of the door
[16387.85s -> 16390.54s]  the entrance. If I go like
[16390.54s -> 16394.06s]  this, they're kind of like
[16394.06s -> 16396.30s]  here and here.
[16396.30s -> 16409.29s]  It's got to be
[16409.29s -> 16416.78s]  the same on both sides. It's a little bit tighter.
[16416.78s -> 16419.21s]  It's like here. But for aesthetic reasons
[16419.21s -> 16458.51s]  I'm putting it here. Are you still going to add goats?
[16458.51s -> 16460.68s]  Yeah, I kind of
[16460.68s -> 16462.68s]  threw away the whole farming DLC
[16462.68s -> 16465.18s]  and yeah, that's
[16465.18s -> 16477.08s]  unfortunate. We'll do it again.
[16477.08s -> 16481.24s]  This is just wood, but I don't want to build that yet. All right.
[16481.24s -> 16491.60s]  So this needs to be like here, right
[16491.60s -> 16500.09s]  here. Should be thicker. Really
[16500.09s -> 16534.46s]  sell what it is. It's wood walls.
[16534.46s -> 16540.14s]  These are pretty good. They're kind of
[16540.14s -> 16543.98s]  selling. These are a little dusty.
[16543.98s -> 16561.71s]  Let's try these. Use farm animals
[16561.71s -> 16563.71s]  for customers. That's actually a
[16563.71s -> 16595.96s]  pretty funny idea. This in the corner.
[16595.96s -> 16634.48s]  Pretty good.
[16634.48s -> 16648.36s]  Is it going to sit a little bit tighter in here?
[16648.36s -> 16662.88s]  Together. You missed a spot.
[16662.88s -> 16664.88s]  Doesn't match, but I don't think it really needs to.
[16664.88s -> 16671.98s]  Bathroom is the way it is. This is
[16671.98s -> 16679.53s]  my sanctuary over here. That'll have to
[16679.53s -> 16684.72s]  do. This is the room I want to tackle now.
[16684.72s -> 16689.26s]  The door to Mr. Krabs office
[16689.26s -> 16696.14s]  is left or right?
[16696.14s -> 16698.14s]  Is it closer to the wall or is it more in the middle?
[16698.14s -> 16713.68s]  It's the one in the middle, right? Yeah. Build this up.
[16713.68s -> 16728.76s]  What about the barrels? We'll do some touch up.
[16728.76s -> 16736.70s]  And the door. I'm going to have to keep using
[16736.70s -> 16738.70s]  these weird sci-fi doors, unfortunately.
[16738.70s -> 16779.07s]  Hmm. These look quiet.
[16779.07s -> 16798.51s]  Oops.
[16798.51s -> 16800.51s]  I like it. It's cool.
[16800.51s -> 16804.22s]  Here's the fridge. But we keep that closed
[16804.22s -> 16806.83s]  because I don't want anyone to see.
[16806.83s -> 16810.48s]  Oh, we've got more logos. Hold on. I've got to put these
[16810.48s -> 16834.08s]  in. Okay.
[16834.08s -> 16855.95s]  It's one too. Okay.
[16855.95s -> 16858.95s]  You can't see anything?
[16858.95s -> 16860.95s]  Yip, yip, yip, yip, yip, yip, yip.
[16860.95s -> 16863.89s]  Yip, yip, yip, yip, yip, yip, yip.
[16863.89s -> 16874.28s]  Yip. Yip.
[16874.28s -> 16879.08s]  I might as well. Oh, there's a raid!
[16879.08s -> 16881.08s]  Oh my god, I got to turn this rain back on.
[16881.08s -> 16883.08s]  But I don't want you guys to see this yet. Hold on.
[16883.08s -> 16885.08s]  I don't want you to see this. This is very important.
[16885.08s -> 16891.99s]  This is where my sanctuary is.
[16891.99s -> 16895.15s]  I'm okay if you see it just didn't want you to see this because it's a surprise
[16895.83s -> 16905.21s]  Hello, welcome. Welcome vine sauce viewers. Thanks a lot, Vinny. Welcome
[16906.27s -> 16912.82s]  This is a surprise for chat. So I'm sorry. I took a little bit longer playing house flipper. Thanks for the raid. Welcome
[16912.84s -> 16915.94s]  We are currently
[16915.94s -> 16921.44s]  Doing something very important. We are recreating one to one
[16921.76s -> 16932.57s]  Not a single detail missed of the Krusty Krab and house flipper doing my best. I think it's going pretty good so far
[16933.13s -> 16941.62s]  We're working on it. And then I've also of course besides the Krusty Krab. I also have my sanctuary over here
[16941.90s -> 16972.50s]  Which has been recently updated. I'm leaving this house. Please. Don't mind the poop chairs. They're temporary
[16974.30s -> 16985.74s]  Alright, hold on. I got some other things to put in here. This is much smaller. All right. Yeah, like right there
[16986.26s -> 17005.71s]  How am I gonna do this? I don't think that works. Can I put it on a tree?
[17016.61s -> 17019.29s]  Why do I feel like I'm walking through?
[17019.85s -> 17021.85s]  One of those like Disney
[17022.05s -> 17029.57s]  Experiences where it's the Krusty Krab. Oh, whoa, I can actually walk around the Krusty Krab. This is so cool
[17029.57s -> 17036.34s]  And then it's just a store in here. This is a huge gift shop with tons of toys and
[17037.93s -> 17039.73s]  plushes and
[17039.73s -> 17045.97s]  Stickers and and you can eat here. You can sit here and eat here
[17046.49s -> 17054.39s]  but hey, but those of you that just joined us and some of you that have been here or
[17054.39s -> 17061.46s]  Some of you that have been here for a while have not seen all of it. So of course, this is we're not done
[17061.98s -> 17064.15s]  This is obviously
[17064.97s -> 17069.47s]  Spongebob's office Spongebob's work area. He's the cook. We got the window here meet a little bit of cleaning up here
[17069.89s -> 17073.81s]  There's a lot to do here. But wait till you see mr. Krabs office
[17074.25s -> 17079.75s]  I'm telling you right now. You are about to be floored with how accurate this is
[17080.29s -> 17092.58s]  But here's the bathroom though a little bit of extra space
[17093.22s -> 17107.41s]  All the toilets work dude, the floor is really carrying it really is without this floor. It was awful
[17107.91s -> 17115.60s]  All right. I'm happy with this so far. I think this isn't going pretty well
[17116.12s -> 17130.10s]  Let's tackle this room because this I just I don't I don't love it. I don't love it. Okay
[17130.42s -> 17145.25s]  What was Vinnie playing tonight? What's Vinnie doing 90s stuff? Oh
[17148.86s -> 17150.86s]  Obscure 90s websites. Ooh
[17151.22s -> 17154.03s]  Sounds pretty good. Okay
[17154.55s -> 17156.55s]  We need a shelf over here
[17157.65s -> 17162.05s]  There's another grill that's there's a second grill right old virtual world
[17162.65s -> 17206.73s]  There's another oven right here. It's too big. It's too big. I can't put it anywhere
[17206.73s -> 17233.29s]  I would pay thirty five thousand dollars for that. I wouldn't so I need an oven or a stove
[17233.45s -> 17238.14s]  There's a second one. What color is it? It's like, um, there's a couple of barrels
[17238.34s -> 17241.87s]  Let me put the barrels in first because I think those those go against back wall
[17244.78s -> 17263.61s]  Yeah, these go like here this I think it's too good how the ceiling needs to be wood
[17264.29s -> 17267.49s]  Shit. All right. Well, I gotta do that right now
[17268.09s -> 17274.75s]  Don't forget the Krabby Patty poster
[17275.81s -> 17300.23s]  Can I get it? Can a mod link me the Krabby Patty poster? You know, the craziest part about this house is
[17300.71s -> 17310.16s]  There's an entire upstairs that has bedrooms and bathrooms in it and it's sealed off forever
[17311.18s -> 17323.93s]  Never to be opened. I think that's pretty clear
[17324.45s -> 17326.45s]  All right, I need to fix the walls over there
[17326.97s -> 17345.07s]  Plenty of these good make sure you add a secret ladder to the upstairs crack addict
[17345.15s -> 17353.48s]  Yeah, I'm gonna hide that though because I don't want anybody to see it. So I'm gonna hide it like over here
[17353.72s -> 17362.83s]  I'm not even sure I can get upstairs ever again. I'm serious. I don't think I can get up there
[17363.39s -> 17380.54s]  What where am I?
[17380.54s -> 17400.69s]  What the hell? Uh, oh cool. You can change the roof, huh?
[17406.38s -> 17412.54s]  Wait, I didn't process that at all. How do I get to the roof tool? Oh
[17425.28s -> 17454.63s]  Cool. Hold on. Wait, wait, wait, wait. What's the what's the top of the Krusty Krab? What? Yeah, no one's gonna look at the roof
[17454.63s -> 17457.35s]  All right. Well, this isn't the wrong spot. So where am I gonna put this?
[17457.35s -> 17466.46s]  I mean that can stay but so I need to it's gonna be like away from my sanctuary
[17466.46s -> 17509.01s]  Right, that makes sense. The hell is the rest of the house put it above the pool
[17509.01s -> 17519.88s]  Yeah, I was just trying to but I don't think I can get up there. It doesn't like that. The pool is there
[17535.73s -> 17544.33s]  The bathtub up there I think it has to just be maybe wait, okay, wait, wait, wait, maybe in the corner
[17544.33s -> 17580.12s]  I can do it right. Okay, I can do it right here. I want this be hidden though. All right
[17580.12s -> 17603.77s]  What is did I do it again? I don't care. Nice. Grab your fatty only at the Krusty Krab. Oh, I'll take that one
[17603.79s -> 17612.09s]  Wait a minute. What is that? I'm taking this downstairs
[17612.29s -> 17635.24s]  What a mirror be better here a mirror on this side and a mirror on that side. That would be kind of fine, right?
[17635.28s -> 17654.71s]  That might be actually pretty good. All right. There are some boxes in here. I got the food over there
[17654.71s -> 17674.61s]  I got the two barrels. There is a window. I actually think this is pretty good so far. Oh, wait, hold on
[17674.61s -> 17680.23s]  Yep. All right, Krusty Krab only a crab fatty only the Krusty Krab. All right. Come on. I don't want to spoil
[17680.31s -> 17718.64s]  Okay, any more any more I should put in I think that'll do it. Yeah, that should be fine
[17718.72s -> 17762.07s]  That should tie the whole room together now. You can look it's not that big. It's a little smaller. Yes, not bad
[17762.07s -> 17781.48s]  This is kind of ugly, but the vampire picture of you behind. No, this is it. That's for my sanctuary
[17781.48s -> 17787.43s]  I need some lights in here that I need a nice light and I'll be happy
[17787.81s -> 17824.43s]  Something very basic. Yep mood lighting exactly string light. I think they do unfortunately. It's okay. We like the chandelier. Ah
[17830.10s -> 17839.50s]  Hey, I hate this picture. It's so stupid. It's too well lit for that photo to be in here
[17839.66s -> 17868.55s]  What about like candles candles make more sense? Oh, I'm gonna make I'm gonna make a blood-borne room
[17868.55s -> 17901.37s]  I'm gonna make a dark souls. I'm gonna pick a from software room pretty good
[17901.39s -> 17916.14s]  I'll put a bonfire in the middle now. I'm sorry. There's not enough candles in this room
[17916.18s -> 17950.48s]  Okay, now it's officially a from software room
[17959.57s -> 17961.57s]  Is this your grave?
[17961.73s -> 17968.96s]  Vampire German grave, how did it get darker? How did I get darker?
[17973.75s -> 17982.00s]  This shit's on your walls. Wait, is there like a coffin? Hold on. Is there like a vampire coffin?
[17982.00s -> 17986.22s]  Why would there be what I'm looking? Oh my goodness. There is
[18005.66s -> 18007.66s]  the crusty crab
[18011.60s -> 18056.30s]  I think the candles are going out. I think that's the problem. He's be bigger than this. I think that's a good size
[18064.00s -> 18091.43s]  Fucked up. Yeah, he wanted to be he wanted to be put into a casket in his sanctuary room. He's not in there
[18091.59s -> 18113.50s]  He just really liked this place. He's in there don't open that open have it have the casket open
[18113.50s -> 18123.67s]  I don't think I can I love it. All right, I need a door there or should there not even be a door
[18123.99s -> 18125.99s]  Just just waltz into this
