[3.13s -> 4.33s]  All right, let's go.
[1436.73s -> 1438.81s]  that's attaching you to that scenery now.
[1438.81s -> 1439.29s]  Yep.
[1439.29s -> 1442.25s]  So you could probably spend your second action moving,
[1442.25s -> 1445.82s]  try and get, get eyes on this beast.
[1445.82s -> 1446.46s]  Yeah, there you go.
[1446.46s -> 1447.18s]  Here it is.
[1447.18s -> 1448.98s]  Okay. Now I'm gonna.
[1450.18s -> 1451.30s]  Yeah, grab it.
[1456.25s -> 1460.06s]  Okay. Wait, I'm throwing the fireplace?
[1460.06s -> 1462.30s]  You're going to be throwing the flames.
[1462.30s -> 1464.60s]  Oh, fireplace.
[1464.60s -> 1465.96s]  I can't reach.
[1465.96s -> 1466.84s]  All right. I'm just going to move.
[1466.84s -> 1468.36s]  I mean, this time you can just, you can move
[1468.36s -> 1470.44s]  or you can just end turn and you can let him approach.
[1470.44s -> 1472.15s]  Yeah. I'm going to get up here.
[1472.15s -> 1473.03s]  All right. There you are.
[1474.41s -> 1478.07s]  All right. Now let's, let's discuss that.
[1478.07s -> 1481.10s]  I'm wondering if.
[1481.10s -> 1481.98s]  Yeah, I have no idea.
[1481.98s -> 1485.66s]  Oh, okay. So it has to be within these tiles.
[1485.66s -> 1486.38s]  Yeah.
[1486.38s -> 1490.09s]  So I think I could just, how do I get over to the beast?
[1490.09s -> 1492.65s]  I think it's trying to get you to throw the bookcase at it
[1492.65s -> 1494.58s]  or something.
[1494.58s -> 1496.10s]  Can you, you can't target it.
[1496.10s -> 1497.14s]  Can you through the rubble?
[1497.14s -> 1498.34s]  I don't think so.
[1498.34s -> 1499.72s]  Maybe it's just end turn.
[1499.72s -> 1502.22s]  Well, yeah, maybe in turn and see how he approaches.
[1507.54s -> 1510.50s]  All right. He's trying to break through.
[1510.50s -> 1511.70s]  Yeah. Can you imbue the,
[1512.52s -> 1514.76s]  maybe you can imbue the rubble in front of you.
[1514.76s -> 1516.60s]  I think I just, can I burn this?
[1516.60s -> 1517.72s]  I just stole the fire.
[1518.28s -> 1518.84s]  Possibly.
[1518.84s -> 1521.05s]  Let me see if I can burn it.
[1521.05s -> 1524.95s]  Okay. Fire, steel fire.
[1524.95s -> 1527.83s]  Oh, maybe if you infuse something on his side,
[1527.83s -> 1528.95s]  like the bookshelf.
[1528.95s -> 1532.41s]  I can't target anything across this.
[1532.41s -> 1536.25s]  Should I start breaking shit?
[1536.25s -> 1537.53s]  Yeah. Just start breaking shit.
[1537.53s -> 1544.87s]  He's going out the door. I think.
[1544.87s -> 1545.51s]  All right. Hold on.
[1545.51s -> 1547.43s]  Break the rubble behind you maybe,
[1547.43s -> 1549.35s]  or infuse it and then throw it.
[1549.35s -> 1551.16s]  What does withdraw?
[1551.16s -> 1553.10s]  Stop. Okay. Hold on. Wait, wait, wait.
[1553.74s -> 1556.98s]  I'm going to stop using this and let's, ah, here we go.
[1556.98s -> 1560.02s]  All right. I'm going to use the paper's table back here.
[1560.02s -> 1561.06s]  There it is.
[1561.06s -> 1561.94s]  Oh, good idea.
[1561.94s -> 1564.98s]  Then splinter blast him with it.
[1564.98s -> 1566.58s]  Yeah. Splinter blast. There you go.
[1566.58s -> 1568.79s]  All right. I get it. Let's go.
[1568.79s -> 1573.10s]  Oh, nice. Okay.
[1573.10s -> 1573.98s]  The same deal.
[1573.98s -> 1576.78s]  Down again. Same deal. Infuse something nearby.
[1578.92s -> 1581.80s]  Candles. And I'm going to,
[1581.80s -> 1586.52s]  oh, let's just light the room up.
[1586.52s -> 1588.44s]  Okay. I guess I'm done.
[1589.00s -> 1590.04s]  I guess I've lit the fire.
[1590.04s -> 1593.53s]  That's cozy.
[1593.53s -> 1597.18s]  Okay. Now if I can blow up,
[1597.18s -> 1598.22s]  I'm going to blow up the bookcase.
[1598.78s -> 1602.66s]  There we go. All right. See you later.
[1602.66s -> 1607.64s]  Look at that. Nice.
[1608.70s -> 1612.14s]  Okay. And Thomas, I think Thomas is going to level up.
[1612.14s -> 1612.62s]  There we go.
[1612.62s -> 1613.42s]  Ooh.
[1613.42s -> 1615.10s]  You can choose from these three abilities.
[1615.10s -> 1616.06s]  And so read through them,
[1616.06s -> 1617.98s]  see which one kind of you like the look of.
[1620.30s -> 1624.01s]  Elementalist, ignite or open mind.
[1624.01s -> 1626.57s]  Thomas can interfuse with one additional target.
[1626.57s -> 1629.83s]  That means you can link two targets at once.
[1629.83s -> 1631.19s]  Instead of just like the bookshelf,
[1631.19s -> 1632.71s]  you could do a bookshelf and a table.
[1634.82s -> 1635.30s]  I don't know.
[1636.97s -> 1638.97s]  Elementalist, what that kind of does
[1638.97s -> 1642.01s]  is it improves the things you interact with.
[1642.01s -> 1644.25s]  So if you interact with fire, it won't burn out.
[1644.25s -> 1645.13s]  If you interact with wood,
[1645.13s -> 1646.57s]  you get something called splinter salvo,
[1646.57s -> 1648.65s]  which is like a better version of what you just did.
[1649.61s -> 1650.73s]  I think, I think open mind.
[1650.73s -> 1652.25s]  I like having, I want to infuse with more stuff.
[1652.81s -> 1653.53s]  Cool. All right.
[1654.73s -> 1661.00s]  Ooh. And I got a, you got a amulet there,
[1661.00s -> 1662.04s]  a strap of golden links.
[1662.04s -> 1662.84s]  Everyone knows who's winning.
[1662.84s -> 1664.92s]  When you show up wearing this, it gives you bonus damage.
[1664.92s -> 1666.76s]  So you can just click your empty slot
[1666.76s -> 1667.88s]  and you can equip that.
[1667.88s -> 1669.00s]  Oh, nice. All right. Cool.
[1669.56s -> 1670.68s]  0.7 bonus damage.
[1671.40s -> 1672.44s]  This is pretty neat. I like this.
[1672.44s -> 1673.64s]  This is fun.
[1673.64s -> 1675.64s]  More monsters roam the battle halls
[1675.64s -> 1677.24s]  and rattle the rotting furniture.
[1678.92s -> 1682.60s]  But Thomas moves quietly, sensing his way in the dark.
[1682.60s -> 1684.36s]  Oh, you're already dressed like a wizard.
[1684.36s -> 1686.44s]  Daylight lands on his wrist.
[1686.44s -> 1688.68s]  Cool wind soothes his tired eyes.
[1689.96s -> 1692.33s]  I'm still allowed to live?
[1694.60s -> 1697.56s]  He closes the tower door gently to make no noise.
[1699.34s -> 1701.90s]  That was the mystic's art that I did.
[1701.90s -> 1702.70s]  Right, tower?
[1703.42s -> 1704.30s]  Where'd I get it from?
[1704.94s -> 1707.02s]  Could it have just happened?
[1707.58s -> 1710.41s]  Is it just one of those things?
[1711.21s -> 1713.94s]  Things a man's born with
[1713.94s -> 1716.50s]  that might blossom in his life when he needs them.
[1716.50s -> 1717.93s]  Well, I might not deserve it,
[1717.93s -> 1719.61s]  but you never turn down a turkey.
[1719.61s -> 1720.81s]  So they say.
[1720.81s -> 1721.53s]  I'm sorry.
[1721.53s -> 1724.42s]  That guy calling you a theater kid
[1724.42s -> 1727.26s]  is still Red Freak in my head.
[1727.26s -> 1728.22s]  Well, who never turns?
[1728.22s -> 1729.66s]  What if we never turn down a turkey?
[1731.53s -> 1732.01s]  You don't.
[1732.97s -> 1734.65s]  I bet this is you, Stan.
[1734.65s -> 1736.60s]  Thomas.
[1739.27s -> 1740.79s]  I should plumb the depths of this power,
[1740.79s -> 1742.63s]  but safely, I suppose, and out of sight.
[1742.63s -> 1744.15s]  I don't want anyone to know that I'm a magician.
[1744.79s -> 1745.29s]  Thomas.
[1745.83s -> 1746.95s]  You're okay.
[1746.95s -> 1747.59s]  You're okay.
[1748.23s -> 1749.43s]  You look like it.
[1750.07s -> 1753.30s]  Hey, Thomas, something happened.
[1754.18s -> 1757.14s]  And along us, you're here and you're safe.
[1757.14s -> 1757.64s]  Good.
[1758.18s -> 1758.90s]  Oh, sorry.
[1758.90s -> 1759.38s]  And you, too.
[1760.02s -> 1760.90s]  Is it how do I pronounce it?
[1761.46s -> 1761.94s]  Inon.
[1761.94s -> 1762.44s]  Inon.
[1765.58s -> 1768.38s]  Inon and I only barely made it.
[1768.38s -> 1771.69s]  Yeah, see that smoke on the horizon?
[1771.69s -> 1772.57s]  That's from the town.
[1773.59s -> 1775.43s]  Yeah, that's thunder roast.
[1776.30s -> 1776.86s]  It burned?
[1785.78s -> 1787.62s]  Things are different than they were.
[1791.22s -> 1791.72s]  Are they?
[1792.73s -> 1793.13s]  Yeah.
[1793.13s -> 1795.29s]  Well, I don't know if you've ever seen something quite like this.
[1797.40s -> 1798.12s]  A monster.
[1798.92s -> 1799.80s]  Sure, we have.
[1800.36s -> 1801.80s]  Yeah, we slay monsters.
[1802.82s -> 1803.38s]  Oh, good.
[1804.50s -> 1805.46s]  I'm glad you're okay.
[1805.46s -> 1806.90s]  Well, I do magic.
[1808.70s -> 1809.34s]  Yeah, I know.
[1809.90s -> 1811.42s]  We're childhood friends, apparently.
[1811.42s -> 1815.64s]  And our party has been formed.
[1815.64s -> 1817.24s]  So we've discovered a new site.
[1817.24s -> 1819.56s]  So you can see in the region of the Arnie Vigil,
[1819.56s -> 1821.32s]  you can see that sword banner.
[1821.32s -> 1825.40s]  And that means that there is a battle to be had.
[1825.96s -> 1826.84s]  Ooh, a battle.
[1827.56s -> 1829.00s]  Yeah, so let's do it.
[1832.94s -> 1833.90s]  I do magic.
[1834.46s -> 1836.94s]  Is there any information that might be pertinent?
[1845.61s -> 1847.21s]  Someone else narrate for a bit.
[1847.21s -> 1850.09s]  A perfect understanding isn't likely to emerge.
[1850.09s -> 1852.25s]  What these beasts are, where they came from,
[1852.25s -> 1854.89s]  and what drove them to attack the town of thunder roast.
[1854.89s -> 1859.27s]  But letting them nest here feels like the wrong idea.
[1859.27s -> 1862.39s]  By the way, sorry, I thought that said chatter in the lower left, not clatter.
[1862.39s -> 1866.25s]  So I was doing like, sorry, that's my bad.
[1866.25s -> 1869.37s]  Do we fan out, get aggressive, or maximize our defense?
[1869.37s -> 1870.94s]  Stay tight?
[1870.94s -> 1872.06s]  Sure, well.
[1872.06s -> 1880.95s]  Okay, so either Ster can choose Icarus as a suggestion,
[1880.95s -> 1884.02s]  or Jemma can choose Stoicism.
[1884.02s -> 1885.06s]  What? What?
[1885.06s -> 1887.38s]  Like, I mean, one is him and one is me.
[1887.38s -> 1889.54s]  This is one of the things where we just kind of decide as a group.
[1889.54s -> 1891.46s]  It's like, how do we want to approach this combat?
[1891.46s -> 1892.74s]  I guess we discuss.
[1893.77s -> 1895.77s]  Back in my house, it was pretty simple.
[1895.77s -> 1898.17s]  It ran in, and we hit it one time.
[1898.17s -> 1900.71s]  Or let them come to us.
[1900.71s -> 1902.49s]  I just came out of there.
[1902.49s -> 1908.84s]  If we're methodical, patient, we can fan them off at least.
[1908.84s -> 1913.08s]  No, he overpowered you.
[1913.08s -> 1914.44s]  I know what's best here.
[1914.44s -> 1917.40s]  Our modifier, we all get plus two damage.
[1917.40s -> 1918.42s]  Okay.
[1918.42s -> 1921.96s]  We have raccoons and roe as our foe cards.
[1923.61s -> 1926.49s]  All right, I guess I'm the tank, I think.
[1926.49s -> 1929.54s]  So I'll approach the door.
[1929.54s -> 1930.66s]  Okay, I'm going to.
[1931.30s -> 1934.34s]  Oh, we can move on our own move at the same time.
[1934.34s -> 1934.82s]  Yeah.
[1934.82s -> 1940.38s]  All right, I'll just stay in the back.
[1940.38s -> 1944.38s]  I'm going to I'm going to get a fuse ready here on the tree.
[1945.91s -> 1949.46s]  Just in case I'm going to imagine they're going to be lured out potentially.
[1949.46s -> 1951.37s]  Courage, Thomas.
[1951.37s -> 1952.33s]  Courage.
[1952.33s -> 1954.62s]  We must move forward.
[1954.62s -> 1958.22s]  But not me first.
[1958.22s -> 1959.58s]  And on.
[1959.58s -> 1962.30s]  I mean, I'm not I'm very squishy, so I'm not going to get in there.
[1962.30s -> 1968.95s]  Once you've used up your two action points, you want to just end time.
[1968.95s -> 1969.67s]  Oh, there it is.
[1971.59s -> 1972.71s]  You almost killed him in one hit.
[1973.45s -> 1975.45s]  I had sentinel, which is like an inception.
[1981.30s -> 1983.22s]  I will rush the raccoon.
[1984.26s -> 1984.82s]  Okay.
[1984.82s -> 1985.22s]  I guess.
[1985.86s -> 1986.66s]  I'm going to.
[1992.22s -> 1993.18s]  I'm coming in.
[1993.18s -> 1993.98s]  I'm just going to come in.
[1995.50s -> 1997.10s]  That's a good thing we got, Thomas.
[2008.47s -> 2009.19s]  All right.
[2009.19s -> 2009.99s]  That was good support.
[2011.03s -> 2012.23s]  Great work, everybody.
[2012.23s -> 2014.55s]  There's a little tutorial fight that we did.
[2014.55s -> 2015.19s]  Great, everyone.
[2017.48s -> 2019.64s]  Okay, we found Hunter's armor.
[2020.60s -> 2021.72s]  Armored two, warding one.
[2022.60s -> 2024.84s]  Town watchers who are good with a bow and who can't get anything fancy
[2024.84s -> 2027.16s]  have long traded to each other the secrets of Graybark.
[2028.12s -> 2029.72s]  This is an upgrade for along us.
[2030.84s -> 2031.16s]  Okay.
[2033.61s -> 2040.97s]  The misshapen creature folds its bones and dimes in a nice little neat pile.
[2041.61s -> 2043.29s]  Blue fluids darken the dust.
[2044.09s -> 2044.92s]  A sick.
[2044.92s -> 2046.20s]  Fascinating.
[2046.20s -> 2046.60s]  Grim.
[2047.24s -> 2048.52s]  The color in their veins.
[2048.52s -> 2049.32s]  What does it mean?
[2050.38s -> 2051.42s]  A sickness, probably.
[2052.14s -> 2056.33s]  Today is put reality in a spiral.
[2057.74s -> 2057.98s]  Yeah.
[2059.53s -> 2061.93s]  Day day drops, day rises.
[2061.93s -> 2062.97s]  Dusk is sweet.
[2062.97s -> 2064.65s]  The sunrise sweeter.
[2064.65s -> 2068.01s]  It's not long before they've cleaned the old tower up a bit.
[2068.97s -> 2072.87s]  There's still a thousand questions in this place.
[2072.87s -> 2073.43s]  Excites.
[2075.75s -> 2078.23s]  Even the oldest books say very little of what we've seen.
[2078.79s -> 2080.23s]  Monsters come from myths.
[2080.23s -> 2081.43s]  But where do myths come from?
[2082.07s -> 2083.43s]  I suppose we'll learn.
[2083.43s -> 2084.15s]  They're real now.
[2086.79s -> 2088.55s]  Let's not wait to be overrun.
[2088.55s -> 2090.39s]  We're a company of heroes now.
[2090.39s -> 2091.19s]  We'll walk the land.
[2091.19s -> 2092.15s]  We'll fight.
[2092.15s -> 2092.87s]  People need us.
[2093.43s -> 2095.83s]  We'll give ourselves a name and make sure it's one they'll sing.
[2096.95s -> 2098.23s]  Sounds like you've thought about this.
[2099.51s -> 2101.43s]  Name of the bands for cunts.
[2101.43s -> 2102.95s]  We name our company.
[2102.95s -> 2105.51s]  So my character suggestion is the Queer Crown.
[2105.51s -> 2106.71s]  Walkers of the Queer Crown.
[2108.26s -> 2110.58s]  Ster's suggestion is the Bats of the Fabulous Four.
[2110.58s -> 2113.30s]  And Jerma's suggestion is the Family of the Golden Romance.
[2114.58s -> 2114.98s]  Okay.
[2116.10s -> 2116.82s]  The family of the...
[2116.82s -> 2118.26s]  These are all our fault.
[2119.06s -> 2119.70s]  Yeah, yeah.
[2119.70s -> 2121.06s]  I don't think we're allowed to enter our own name.
[2121.06s -> 2122.98s]  I think we have to pick from our three.
[2123.46s -> 2126.90s]  Oh, the Bats of the Fabulous Four.
[2126.90s -> 2128.26s]  I think that's my favorite.
[2128.26s -> 2129.78s]  I like that because there's three of us.
[2129.78s -> 2131.78s]  Yeah, because there's not four people.
[2131.78s -> 2132.28s]  Let's do that.
[2134.17s -> 2136.81s]  After that, the three of them are inseparable.
[2136.81s -> 2137.93s]  Rumors are rampant.
[2137.93s -> 2139.05s]  Heroes are needed.
[2139.05s -> 2141.29s]  This world will be flooded in sorrows.
[2141.29s -> 2144.01s]  But its defenders are joined by a fire that night.
[2147.02s -> 2151.50s]  Here follow the tales of the Bats of the Fabulous Four.
[2151.50s -> 2152.46s]  Be remembered.
[2153.10s -> 2153.66s]  That's us.
[2154.30s -> 2155.26s]  Anime outro.
[2155.26s -> 2156.30s]  The game has crashed.
[2156.30s -> 2157.42s]  Please send your logs.
[2158.62s -> 2159.50s]  Oh, no.
[2159.50s -> 2160.06s]  What?
[2160.06s -> 2161.26s]  Yeah, my game crashed.
[2163.42s -> 2164.78s]  That's an interesting prompt.
[2166.60s -> 2166.84s]  Wait.
[2166.84s -> 2168.04s]  No, I'm still here.
[2168.04s -> 2168.82s]  Oh, you're here.
[2168.82s -> 2169.14s]  You're good.
[2169.14s -> 2169.38s]  Am I?
[2169.38s -> 2171.58s]  Hold on.
[2171.58s -> 2175.43s]  I think I'm seeing a card of a raccoon on the screen.
[2175.43s -> 2175.91s]  Oh, yep.
[2175.91s -> 2176.31s]  I can see it.
[2176.95s -> 2177.43s]  We're good.
[2177.43s -> 2177.75s]  Yeah, we're good.
[2177.75s -> 2178.23s]  We're good.
[2178.23s -> 2181.83s]  The way the combat system works is the longer our campaign goes,
