[22.33s -> 23.53s]  Hey, what's up?
[16317.41s -> 16323.54s]  a direct sequel or is it just hylix but a different is this a
[16325.38s -> 16327.46s]  Yes, it's a direct sequel. I just didn't know if it was some kind of
[16329.41s -> 16343.86s]  Standalone experience or something. Do we get any more info? Don't tell me it's a dumb thing to ask before playing it. But yeah
[16344.42s -> 16346.69s]  awesome
[16346.69s -> 16353.07s]  Hylix currently three dollars on steam right now game's been off for a long time
[16353.15s -> 16359.74s]  But a lot of people have been uh requesting I play this for a while and we'll definitely play the second one, too
[16363.57s -> 16368.83s]  That's a steal. Yeah, I mean like that's
[16369.70s -> 16381.34s]  That was a four like three and a half hour four hour experience two bucks. Come on gwen. I liked it a lot
[16396.00s -> 16401.63s]  Second hylix when four out of ten what? Wait, wait, wait, wait. What what happened?
[16403.10s -> 16406.54s]  Why people saying four to ten omega l what did I say that? When did I do that?
[16406.86s -> 16414.60s]  What you said it's a it was a miscommunication
[16416.70s -> 16420.78s]  Oh four hours. Okay. I was like what that's not correct
[16427.31s -> 16431.44s]  Yeah, I I don't I can't give this game a rating. I don't think it
[16431.76s -> 16443.54s]  I don't think I want to I think I would just say this is a recommended experience because to me
[16446.88s -> 16448.88s]  It was it was a great time
[16448.96s -> 16454.62s]  But I don't think that the experience that I had here I could be like well, let me say uh x out of 10
[16455.38s -> 16457.38s]  No, no, it was just great. It was just really cool
[16463.42s -> 16467.66s]  But like I gave you okay if you want it to be rated if this has to be a rating for you
[16469.20s -> 16472.72s]  This is for the experience for the experience
[16475.10s -> 16484.80s]  It is a it is a good plus good plus i'm not giving this a number rating
[16484.88s -> 16490.93s]  I don't think you can I think it's just a good plus which means that was fucking fun. That was great
[16491.17s -> 16504.03s]  This game was in a museum as a demo
[16506.24s -> 16510.80s]  Yeah, this game was to me was like more of like a an art journey and like an experience
[16511.12s -> 16526.37s]  That was good plus good plus what's what about good plus plus?
[16527.57s -> 16535.49s]  No, no, no, no, no, no, no, no, this was great. This was great plus
[16537.23s -> 16541.79s]  All right. I'm getting out of here. It was a very wonderful experience highly recommended
[16541.79s -> 16549.73s]  It's only three dollars and I can't wait to play the second one. I loved it
[16549.97s -> 16557.26s]  And that's gonna be the end of stream. I think it's a good place to call it
[16557.34s -> 16571.38s]  I'm gonna go eat some pizza. Well done. But yeah, I will see you guys the next time you will see me
[16572.98s -> 16576.59s]  is
[16576.59s -> 16578.59s]  maybe
[16580.19s -> 16588.78s]  Sunday sunday monday, we'll go sunday stick around on the weekend. I'll go sunday sunday night
[16594.96s -> 16598.46s]  But yeah, take care. I'm not sure what we're gonna do on sunday
[16598.54s -> 16621.50s]  I don't think we're gonna do hylix 2 on sunday change it up a little bit play the long drive
[16623.30s -> 16637.98s]  Maybe we'll see you're gonna do face cam. I was on cam today face cam is not gonna be a focus anymore
[16640.72s -> 16648.51s]  With it off. I can kind of just relax. I'm just gonna play hang out. Yeah, you'll see me from now and again
[16648.51s -> 16655.31s]  You'll see me you saw me today. It's gonna it's going back to the way that it was
[16656.24s -> 16658.16s]  Pre like 2019
[16658.16s -> 16662.46s]  pre 2020 where yeah
[16662.46s -> 16663.66s]  If i'm gonna play a horror game
[16663.66s -> 16666.43s]  It's gonna be on and i'm gonna do something where you need to see my face
[16666.43s -> 16671.65s]  It's gonna be on if I feel like just turning it on one day i'm playing and I it's gonna turn on
[16671.81s -> 16678.98s]  Which is not every single day. I'm having a lot more words not fun
[16680.00s -> 16692.24s]  But I really like this different environment a little bit more comfortable. I do like being on face cam, right?
[16692.24s -> 16700.88s]  But i've been enjoying this a lot. So i'm gonna keep doing it. What about sorcery?
[16700.96s -> 16713.31s]  I know that person's mother is pissed
[16723.15s -> 16733.02s]  Neon white on sunday. Hmm. We'll see i'll be in pre stream 30 40 minutes before the stream figure it out
[16735.63s -> 16750.98s]  All right. Good night guys. See you later. Take care of yourselves. See you sunday. Have a great rest of your evening or morning
[16758.00s -> 16764.08s]  Call your mother see you soon
